gene,species,replicate,exprval
3,5043,R1,8
3,5044,R1,9
3,5047,R1,9
3,5051,R1,15
3,5052,R1,14
3,5069,R1,12
3,5070,R1,9
3,5076,R1,12
3,5080,R1,4
3,5084,R1,14
3,5087,R1,11
3,5088,R1,1
3,5089,R1,14
3,5092,R1,23
3,5095,R1,0
3,5096,R1,0
3,5097,R1,7
3,5099,R1,11
3,5100,R1,10
3,5103,R1,12
3,5106,R1,9
3,5107,R1,13
3,5108,R1,10
3,5109,R1,7
3,5111,R1,10
3,5115,R1,10
3,5120,R1,1
3,5121,R1,12
3,5125,R1,1
3,5126,R1,0
3,5127,R1,17
3,5132,R1,0
3,5147,R1,25
3,5149,R1,3
3,5150,R1,9
3,5151,R1,6
3,5153,R1,7
3,5157,R1,15
3,5161,R1,10
3,5168,R1,4
3,5170,R1,3
3,5174,R1,5
3,5175,R1,13
3,5180,R1,8
3,5181,R1,18
3,5182,R1,13
3,5189,R1,6
3,5190,R1,18
3,5193,R1,12
3,5196,R1,4
3,5197,R1,12
3,5206,R1,8
3,5209,R1,3
3,5211,R1,6
3,5215,R1,11
3,5237,R1,1
3,5238,R1,0
3,5239,R1,0
3,5240,R1,1
3,5242,R1,4
3,5244,R1,9
3,5245,R1,6
3,5249,R1,12
3,5254,R1,2
3,5255,R1,10
3,5259,R1,18
3,5261,R1,18
3,5265,R1,13
3,5268,R1,7
3,5271,R1,15
3,5275,R1,3
3,5282,R1,5
3,5288,R1,11
3,5289,R1,7
3,5295,R1,0
3,5297,R1,2
3,5298,R1,1
3,5301,R1,9
3,5303,R1,1
3,5304,R1,2
3,5312,R1,5
3,5318,R1,9
3,5322,R1,2
3,5324,R1,2
3,5325,R1,2
3,5327,R1,8
3,5333,R1,4
3,5336,R1,6
3,5339,R1,10
3,5341,R1,4
3,5345,R1,20
3,5346,R1,17
3,5348,R1,3
3,5349,R1,2
3,5351,R1,2
3,5353,R1,12
3,5356,R1,7
3,5357,R1,23
3,5364,R1,0
3,5365,R1,3
3,5366,R1,7
3,5371,R1,3
3,5375,R1,1
3,5378,R1,6
3,5383,R1,3
3,5385,R1,7
3,5391,R1,0
3,5400,R1,13
3,5401,R1,13
3,5402,R1,8
3,5404,R1,14
3,5405,R1,3
3,5407,R1,27
3,5421,R1,4
3,5426,R1,7
3,5436,R1,11
3,5438,R1,13
3,5443,R1,15
3,5447,R1,11
3,5449,R1,14
3,5450,R1,13
3,5461,R1,10
3,5462,R1,11
3,5464,R1,4
3,5465,R1,18
3,5470,R1,7
3,5475,R1,9
3,5479,R1,15
3,5483,R1,10
3,5484,R1,9
3,5485,R1,10
3,5487,R1,5
3,5490,R1,14
3,5491,R1,4
3,5495,R1,6
3,5499,R1,9
3,5510,R1,13
3,5515,R1,10
3,5517,R1,8
3,5518,R1,11
3,5522,R1,7
3,5523,R1,9
3,5525,R1,8
3,5527,R1,4
3,5528,R1,4
3,5529,R1,10
3,5531,R1,3
3,5533,R1,15
3,5538,R1,13
3,5540,R1,9
4,4895,R1,3
4,4903,R1,0
4,4905,R1,5
4,4909,R1,0
4,4910,R1,1
4,4915,R1,0
4,4916,R1,1
4,4918,R1,1
4,4919,R1,5
4,4921,R1,10
4,4929,R1,5
4,4930,R1,4
4,4934,R1,4
4,4942,R1,0
4,4945,R1,0
4,4951,R1,0
4,4956,R1,0
4,4959,R1,1
4,4966,R1,0
4,4967,R1,7
4,4972,R1,0
4,4977,R1,2
4,4979,R1,5
4,4981,R1,0
4,4983,R1,13
4,4984,R1,5
4,4990,R1,1
4,4991,R1,14
4,4995,R1,2
4,4996,R1,0
4,4997,R1,0
4,5000,R1,9
4,5002,R1,0
4,5011,R1,1
4,5014,R1,14
4,5017,R1,4
4,5019,R1,9
4,5020,R1,11
4,5022,R1,0
4,5025,R1,2
4,5026,R1,4
4,5027,R1,0
4,5033,R1,3
4,5040,R1,0
4,5043,R1,0
4,5044,R1,9
4,5047,R1,0
4,5051,R1,4
4,5052,R1,3
4,5069,R1,16
4,5070,R1,15
4,5076,R1,0
4,5080,R1,0
4,5084,R1,0
4,5087,R1,14
4,5088,R1,10
4,5089,R1,1
4,5092,R1,2
4,5095,R1,2
4,5096,R1,2
4,5097,R1,3
4,5099,R1,10
4,5100,R1,5
4,5103,R1,7
4,5106,R1,0
4,5107,R1,11
4,5108,R1,6
4,5109,R1,0
4,5111,R1,1
4,5115,R1,4
4,5120,R1,0
4,5121,R1,2
4,5125,R1,10
4,5126,R1,11
4,5127,R1,0
4,5132,R1,0
4,5147,R1,4
4,5149,R1,9
4,5150,R1,5
4,5151,R1,0
4,5153,R1,1
4,5157,R1,5
4,5161,R1,2
4,5168,R1,12
4,5170,R1,1
4,5174,R1,11
4,5175,R1,2
4,5180,R1,1
4,5181,R1,2
4,5182,R1,0
4,5189,R1,0
4,5190,R1,0
4,5193,R1,0
4,5196,R1,0
4,5197,R1,0
4,5206,R1,5
4,5209,R1,0
4,5211,R1,9
4,5215,R1,2
4,5237,R1,2
4,5238,R1,3
4,5239,R1,6
4,5240,R1,7
4,5242,R1,0
4,5244,R1,5
4,5245,R1,4
4,5249,R1,2
4,5254,R1,10
4,5255,R1,2
4,5259,R1,5
4,5261,R1,0
4,5265,R1,0
4,5268,R1,0
4,5271,R1,4
4,5275,R1,8
4,5282,R1,0
4,5288,R1,4
4,5289,R1,0
4,5295,R1,2
4,5297,R1,0
4,5298,R1,0
4,5301,R1,1
4,5303,R1,0
4,5304,R1,0
4,5312,R1,3
4,5318,R1,0
4,5322,R1,8
4,5324,R1,2
4,5325,R1,0
4,5327,R1,3
4,5333,R1,19
4,5336,R1,9
4,5339,R1,0
4,5341,R1,9
4,5345,R1,7
4,5346,R1,7
4,5348,R1,6
