node_name	is_leaf	infer_mu	infer_var
c2491	False	4.757396404339991	29.261754284392335
c2963	False	4.726695717184997	26.71088014523628
c5442	True	4.661254956070476	2.142587050638341
c5494	True	4.66933372967954	2.1133550988499232
c5443	True	3.858149027724651	2.6237364001327923
c5526	True	7.184366627160668	2.9294069285069027
c812	False	4.922756333597942	43.12640576366468
c1177	False	5.334574609909412	38.785055910913336
c2076	False	5.6177472206198	32.723212664109944
c2965	False	5.6969628307795706	23.332381227094363
c3469	False	5.81736358156494	19.56528727662184
c4687	False	6.406639290485425	9.153241437641563
c5495	True	6.712303384528519	0.8639040034483633
c5496	True	6.395613050902574	0.9669214370192065
c5422	True	5.294652270540314	2.103838560277062
c5503	True	5.373791047957641	2.3395911148371473
c5425	True	5.946445611561268	2.7100251018277954
c2969	False	5.892165949504109	24.896350628854144
c3465	False	6.0946293902032185	21.374850896527086
c5528	True	5.971716603194455	2.09925975075614
c5536	True	6.824932499309312	1.8095452596409423
c4752	False	5.619330431163598	9.507526406388363
c5463	True	5.33825760565737	1.0504141997813492
c5464	True	5.809458083889657	0.9186511866258115
c5438	True	2.536871959694857	3.7294367706230727
c5505	True	4.80235457890342	3.4828336155588664
c108	False	1.791417933826828	56.35408933297754
c168	False	1.5846724880363867	59.89194249656863
c294	False	1.2870003451141505	67.1665480830109
c3201	False	1.0974832457861294	28.295631074638216
c5242	True	0.19806369450225692	2.2196091457273543
c4996	True	1.9495235222379967	1.3299926284332617
c1228	False	0.7029836529036114	60.70344715297249
c5164	True	1.6762166151094107	2.081379363600443
c5192	True	-0.9376969575428037	3.932439937374317
c1506	False	1.5390370602371608	52.987519848371434
c3952	False	1.8135274836849684	16.10901609641407
c4615	False	2.0114760229444393	8.730381211837608
c5317	True	2.0192056700482564	0.7828286346542395
c5318	True	2.2016949151000933	0.7341194032055298
c5012	True	1.52742657454515	1.335614489120403
c5371	True	1.1257097406289038	2.5565298668443224
c140	False	1.7265134812100207	62.305905172034834
c1314	False	1.487169755999871	55.7132578831114
c2837	False	1.6064617090673747	31.445204732436693
c4971	True	2.3747863673181375	1.5335900573916554
c4292	False	1.11968718017993	9.58944642015974
c5249	True	1.040075673304024	0.8531395478702029
c5250	True	1.0370405107600214	0.8277272772452375
c5028	True	1.0745176860756631	2.6006967574027064
c3787	False	0.9930326347763384	16.86832300831118
c4279	False	1.271179709117311	8.814270533916314
c5153	True	1.4098150257782749	0.7360530471943907
c5154	True	1.4106914667973205	0.7540030883179352
c5008	True	0.3504466218080772	1.530772601016981
c46	False	1.8556894370875376	39.90060807798729
c141	False	1.0036046335304918	50.37862932886423
c261	False	1.1908101645077733	47.79484208077055
c1490	False	1.4811857498978642	39.45582811025091
c3621	False	0.8712991156929566	18.341964568718282
c5337	True	0.2524987494801147	1.5997070721576312
c5066	True	1.2461448282238352	1.1639060907878056
c2280	False	1.7896683114442917	28.499224896313137
c4929	True	2.0207479360021607	1.8221919481423037
c3244	False	2.005719023167571	15.691047115288173
c3915	False	1.8742250389045396	12.766316690315575
c5162	True	1.5621295320272626	1.2305639797941317
c4598	False	1.898778808080147	8.342426469437894
c5181	True	1.7160326234328447	0.8226394256062823
c5182	True	2.106078761903057	0.709406717588201
c3916	False	2.2452383632922426	12.767844674339425
