	Malat1	Tubb5	Sox4	Tuba1a	Tubb2b	Ppia	Ubb	C1ql1	Actg1	Rtn1	Calm1	Meg3	Tubb2a	Stmn1	Actb	Tmsb10	Nfia	Nnat	Stmn3	Atp5f1	Ftl1	Tubb3	Eef1a1	Gapdh	mt-Atp6	Tmsb4x	Ndufa4	Rpl41	Ddc	Rpl13	Mab21l2	Tubb4b	Hist3h2ba	Atxn10	Prmt1	Prdx2	Eif4a1	Ly6h	Wnt7b	Eno1	Ywhaq	Pcdh10	Rpsa	Basp1	Mdh2	Ndfip1	Rps24	Rpl7	Snap47	Atp5h	Rps3a1	Atpif1	Slc25a4	Rps29	Ywhae	Jpt1	Cox6c	Calm2	Hsp90aa1	Wnt5a	Rps2
E15_rep1_clone00733	191	69	9	128	76	54	41	1	74	104	24	80	27	184	93	207	0	110	35	12	52	39	76	19	103	177	28	50	10	43	0	2	8	7	2	15	4	51	0	4	11	2	48	62	7	13	50	22	1	10	42	23	19	32	20	36	15	15	7	1	49
E15_rep1_clone00734	202	46	3	217	131	66	75	0	82	79	22	67	56	133	118	139	0	93	26	11	42	67	48	20	114	85	18	29	0	25	0	7	9	6	5	20	13	30	0	4	14	0	35	57	7	13	18	7	9	11	11	23	20	16	12	26	9	23	24	0	26
E15_rep1_clone00735	346	45	3	109	90	56	48	2	50	68	22	35	20	125	55	116	18	39	22	15	69	41	52	6	154	189	23	66	0	41	0	2	13	3	1	29	7	15	0	0	9	0	42	53	3	9	54	21	5	15	32	14	20	34	12	27	26	12	10	3	40
E15_rep1_clone00738	287	16	9	60	62	44	37	11	45	40	10	5	8	87	17	117	7	126	21	5	52	28	58	10	130	139	16	30	0	32	0	1	6	1	5	23	2	25	0	1	4	0	24	41	1	9	39	19	3	3	19	11	15	19	8	18	5	10	15	0	36
E15_rep1_clone00739	334	21	12	43	42	45	43	0	48	59	29	85	20	149	31	179	0	165	35	9	45	23	32	10	96	78	16	29	0	34	0	0	26	2	6	21	5	20	0	1	8	0	32	43	5	8	42	14	5	7	17	13	20	21	17	34	12	23	18	0	23
E15_rep1_clone00743	207	71	13	262	139	85	93	5	110	84	30	40	84	183	134	147	0	55	32	12	46	70	49	34	120	96	26	32	0	27	3	5	12	4	12	27	14	24	0	3	13	2	49	61	7	12	25	15	3	15	20	19	32	28	23	30	12	33	28	0	36
E15_rep1_clone00746	237	58	8	206	95	37	64	0	68	68	26	37	45	118	53	148	0	105	27	21	40	43	43	22	82	128	14	27	15	35	0	6	4	8	5	23	10	26	3	0	17	9	23	56	4	15	31	10	6	10	24	24	17	24	20	35	15	23	12	4	43
E15_rep1_clone00750	358	29	4	64	40	70	44	23	64	53	29	23	21	115	92	115	31	82	21	10	48	38	58	6	103	232	16	58	0	27	0	3	18	1	4	23	2	14	0	1	6	0	26	48	3	12	35	17	7	11	18	19	22	22	12	14	18	15	17	3	30
E15_rep1_clone00751	230	142	7	344	198	72	91	0	109	82	28	42	52	188	125	169	0	150	53	15	52	103	92	33	84	141	20	60	10	41	0	3	5	9	10	33	16	40	1	5	24	2	49	63	8	21	36	19	7	19	22	27	23	29	27	47	23	17	35	1	37
E15_rep1_clone00753	218	98	7	226	143	73	95	0	108	109	44	26	77	178	185	145	0	113	51	13	45	75	43	22	61	130	21	38	0	27	0	9	15	9	10	40	10	32	0	4	22	2	48	102	10	21	25	16	15	7	24	16	27	29	32	45	7	43	27	0	39
E15_rep1_clone00756	265	33	12	73	79	48	61	38	66	59	22	32	11	130	46	145	7	82	31	9	73	14	77	17	135	137	14	46	0	43	0	1	12	5	4	13	8	21	0	0	12	1	27	43	3	10	46	14	1	9	27	19	19	27	8	31	14	13	14	1	40
E15_rep1_clone00758	97	24	5	79	57	23	41	0	48	51	20	24	18	62	57	67	0	14	15	12	23	24	37	15	49	47	5	7	0	11	3	2	0	4	2	15	4	20	0	1	10	1	14	31	5	10	18	6	7	8	14	7	17	15	13	13	10	7	8	0	18
E15_rep1_clone00759	210	61	19	172	103	63	63	12	54	67	27	147	33	123	58	162	1	67	42	11	29	45	61	15	245	68	14	32	0	42	0	6	22	8	6	12	6	23	0	2	18	1	39	59	7	11	27	17	5	13	27	22	18	31	27	25	17	22	12	3	37
E15_rep1_clone00761	151	149	27	440	299	80	137	0	176	113	40	48	70	333	110	238	0	217	63	21	75	115	90	33	116	301	20	67	6	40	0	6	11	10	11	48	8	25	0	2	24	1	50	75	13	25	43	12	12	20	28	26	30	16	45	41	21	21	35	1	46
E15_rep1_clone00762	154	43	13	70	51	44	27	0	72	51	32	41	16	150	34	239	0	35	20	5	67	16	46	14	196	196	21	56	0	35	0	2	5	2	5	21	5	18	0	0	15	1	42	52	1	15	44	14	3	7	13	14	11	31	15	40	15	17	4	2	30
E15_rep1_clone00763	415	112	26	122	124	100	39	0	121	82	30	99	32	291	133	422	0	423	50	21	111	54	142	21	281	232	44	91	7	94	0	4	22	7	5	29	7	44	3	0	14	9	94	94	7	7	106	31	9	18	60	51	24	85	24	70	36	28	15	1	84
E15_rep1_clone00765	255	101	2	252	194	80	74	4	120	60	18	79	66	152	131	212	0	161	38	12	37	94	67	24	94	119	18	30	0	32	0	2	21	6	7	22	17	19	0	2	11	0	34	65	5	18	35	9	7	11	26	27	27	22	14	39	13	25	8	0	32
E15_rep1_clone00766	407	47	27	105	65	92	37	0	72	78	51	77	13	276	171	367	0	177	54	12	79	30	98	31	199	272	46	92	2	77	0	3	22	2	6	31	11	35	5	1	21	4	53	69	5	11	55	16	7	15	44	56	17	62	31	46	34	29	14	0	41
E15_rep1_clone00768	131	40	2	82	62	125	103	0	82	120	68	52	21	216	79	194	0	195	73	18	47	30	68	27	123	128	39	41	0	42	2	6	16	2	9	33	2	38	0	0	24	0	66	94	7	29	43	11	2	17	22	36	42	32	28	45	27	77	29	0	50
E15_rep1_clone00772	180	59	31	101	142	58	33	0	79	40	22	84	22	182	57	221	0	161	33	12	52	28	91	12	96	180	19	41	1	43	0	0	9	5	2	19	5	22	0	0	14	2	50	52	2	9	46	17	3	7	21	16	25	33	17	38	19	20	5	0	24
E15_rep1_clone00775	151	39	31	54	55	67	26	0	53	39	33	52	13	174	64	233	0	41	22	6	85	22	38	7	183	204	20	42	1	30	0	0	12	5	2	18	7	30	0	1	13	1	54	55	1	9	43	13	1	8	23	15	17	24	16	31	26	11	7	2	29
E15_rep1_clone00779	143	28	16	83	36	55	59	0	51	46	17	63	21	119	52	106	0	74	28	4	41	22	28	14	135	128	16	25	7	30	0	3	7	3	3	16	10	28	3	2	6	10	26	46	1	7	33	9	3	10	25	13	12	29	11	31	12	23	17	10	29
E15_rep1_clone00785	206	128	6	455	235	106	137	1	133	69	39	42	69	284	203	186	0	114	32	20	47	121	75	24	122	98	22	37	0	40	0	10	13	7	20	30	18	27	0	4	18	1	57	95	15	28	40	18	13	11	37	32	20	32	33	37	15	50	25	0	38
E15_rep1_clone00788	163	60	7	105	98	71	62	0	46	72	32	61	31	159	81	159	0	34	39	12	52	44	46	17	125	144	23	37	1	31	0	2	3	8	8	23	5	17	4	0	24	5	39	41	3	12	39	8	5	18	24	18	18	26	19	43	11	43	11	1	35
E15_rep1_clone00794	199	22	10	54	35	49	45	31	36	42	16	44	11	94	43	107	3	62	19	7	46	18	65	7	100	53	10	36	0	35	0	2	5	2	2	16	2	28	0	1	6	2	26	38	4	12	27	13	7	7	28	18	15	15	7	19	11	15	7	1	32
E15_rep1_clone00799	244	62	9	135	121	45	64	31	53	76	11	50	42	110	72	106	0	122	23	7	22	49	82	15	90	68	17	24	0	25	0	4	7	1	6	14	10	33	0	5	15	7	26	53	4	11	19	17	7	5	24	16	24	25	17	20	11	28	8	1	28
E15_rep1_clone00800	255	55	2	167	120	60	64	44	66	73	15	70	34	109	54	95	2	57	26	12	20	52	45	17	67	60	10	24	0	25	1	9	9	6	9	13	12	33	0	2	7	1	30	36	5	8	24	6	4	11	24	12	16	18	18	14	7	26	10	0	21
E15_rep1_clone00802	235	25	8	78	37	32	34	0	42	37	12	78	10	79	41	113	0	60	18	10	27	22	40	11	70	91	5	24	7	24	0	1	2	3	1	11	4	19	0	0	9	2	29	38	3	9	26	12	5	12	15	9	10	13	9	22	7	9	7	2	24
E15_rep1_clone00807	261	133	24	369	241	77	139	0	128	111	34	59	79	234	199	243	0	174	45	19	63	92	69	29	134	82	26	48	14	45	0	4	16	21	18	39	23	25	2	8	24	6	47	76	11	15	53	21	10	21	25	40	23	42	30	45	21	25	23	5	34
E15_rep1_clone00811	205	38	24	88	67	46	49	2	41	54	20	30	25	150	68	157	0	76	30	4	55	30	44	11	121	128	16	30	0	26	0	3	4	5	5	12	6	23	0	1	12	0	50	52	1	10	25	14	5	11	15	14	12	31	13	32	14	28	6	4	30
E15_rep1_clone00812	170	30	14	41	44	39	24	0	82	37	16	21	7	111	23	180	0	54	23	5	38	7	57	11	76	112	15	28	0	45	0	0	4	0	3	18	4	18	3	1	8	5	41	43	1	12	38	10	2	9	22	13	17	24	12	34	9	19	3	10	24
E15_rep1_clone00814	209	38	5	98	50	65	38	18	35	54	33	47	18	140	43	200	2	78	24	7	44	24	51	10	111	115	24	37	2	32	0	2	16	2	5	19	3	31	0	1	13	3	35	58	2	7	38	13	3	13	22	22	18	27	15	43	17	18	12	2	28
E15_rep1_clone00816	270	36	5	87	56	56	38	0	31	49	22	27	14	124	112	168	3	148	32	13	64	12	36	10	129	150	20	81	0	52	4	3	10	5	4	24	3	21	2	1	11	5	40	58	2	4	56	25	4	10	22	30	23	32	18	23	15	17	9	2	43
E15_rep1_clone00817	142	20	15	74	42	53	40	1	37	35	29	29	25	123	30	149	0	90	28	7	43	17	23	13	126	127	16	43	0	26	0	0	11	3	3	11	3	21	0	0	14	4	24	46	1	8	27	13	5	7	13	11	12	18	16	30	13	22	13	2	28
E15_rep1_clone00818	233	82	21	230	159	84	128	0	121	109	16	48	69	236	108	233	0	107	51	19	56	62	55	27	103	103	22	31	7	35	0	4	11	7	13	37	14	23	2	2	23	2	44	59	11	17	44	14	9	13	22	22	33	30	25	41	22	20	18	8	36
E15_rep1_clone00821	139	34	22	85	43	36	22	0	69	53	9	27	19	122	47	149	1	43	24	6	54	27	48	14	137	158	17	52	0	37	0	2	9	3	3	13	5	22	0	1	11	4	44	53	2	10	35	12	6	6	23	22	16	29	16	36	17	14	11	2	39
E15_rep1_clone00822	328	113	2	280	156	106	110	0	94	70	28	121	76	147	154	140	7	111	47	9	56	77	81	24	273	234	31	54	0	45	0	10	12	4	9	42	17	26	0	1	16	1	59	52	8	13	54	30	14	17	37	21	29	35	30	28	18	26	20	5	52
E15_rep1_clone00824	67	68	3	194	115	57	56	0	57	56	24	33	33	105	146	102	0	107	27	14	29	48	33	21	124	72	17	17	0	8	0	4	16	5	5	19	4	12	0	1	16	0	22	52	6	11	26	10	4	8	8	15	24	15	11	30	15	16	18	0	13
E15_rep1_clone00825	242	27	5	63	36	43	16	0	32	39	18	35	16	92	62	108	1	37	16	9	33	17	48	13	155	85	24	40	1	47	3	2	5	1	1	17	9	17	0	1	7	2	33	41	3	6	34	15	7	10	22	12	16	25	12	23	18	27	7	0	27
E15_rep1_clone00826	204	12	5	39	23	49	48	29	27	52	17	56	12	97	20	84	2	63	34	7	18	14	21	5	51	42	14	37	0	40	0	0	8	1	1	16	5	32	0	0	8	3	27	42	2	6	23	8	3	9	23	19	13	15	11	14	10	15	9	0	21
E15_rep1_clone00828	209	24	10	53	28	72	23	1	38	52	36	65	6	156	35	220	0	110	27	4	59	17	56	8	123	180	18	60	0	28	0	0	19	0	4	15	3	24	0	1	5	0	29	38	2	2	32	11	5	6	14	17	7	35	17	27	24	18	3	0	34
E15_rep1_clone00830	211	35	6	95	102	43	46	27	69	57	23	35	17	120	28	139	3	56	24	6	41	26	74	11	120	97	16	24	3	38	0	0	7	5	5	25	1	26	0	1	11	0	31	40	2	8	26	12	3	9	17	14	14	32	17	29	15	14	10	3	30
E15_rep1_clone00831	312	0	1	23	24	19	30	0	32	3	48	2	5	3	22	17	5	2	2	3	27	0	29	7	80	165	8	29	0	21	0	2	2	3	2	13	0	4	3	1	12	2	12	17	2	8	24	5	1	7	16	8	12	16	16	4	18	1	10	1	17
E15_rep1_clone00832	237	44	15	65	64	58	53	0	72	65	13	62	20	199	110	219	0	118	35	11	65	26	69	16	149	141	15	49	7	51	0	2	10	5	7	18	4	28	2	1	11	2	42	63	1	16	40	12	3	9	33	22	26	24	22	44	16	11	12	0	45
E15_rep1_clone00834	230	43	26	127	69	42	42	0	69	47	7	38	13	97	56	137	0	36	21	6	24	40	38	14	52	83	26	20	0	13	2	2	3	2	2	12	2	22	0	1	12	3	37	43	2	13	32	10	3	5	18	16	11	16	10	32	13	11	2	0	21
E15_rep1_clone00835	147	31	12	63	64	50	30	34	42	53	17	43	7	100	25	133	2	59	23	7	51	33	88	10	136	78	18	46	0	43	0	2	10	2	2	15	6	27	0	0	5	8	47	39	4	11	33	28	2	4	31	8	19	28	15	32	18	15	7	0	38
E15_rep1_clone00836	184	30	4	118	54	37	39	1	34	46	13	37	13	61	29	75	0	47	16	3	31	40	45	8	34	56	13	10	0	13	0	3	2	2	6	14	8	13	0	2	8	0	16	19	4	10	13	7	5	5	12	9	8	22	16	14	5	15	10	0	17
E15_rep1_clone00837	374	70	23	103	131	86	130	16	137	112	23	86	33	276	121	329	11	128	47	17	87	29	116	23	237	205	38	79	1	71	0	4	17	9	18	42	11	52	0	2	16	6	64	101	13	17	67	33	9	19	43	45	32	50	41	60	31	30	35	3	63
E15_rep1_clone00838	538	90	22	148	212	105	47	0	129	70	48	300	35	239	136	358	0	456	47	16	86	66	122	18	299	202	42	97	0	85	7	3	22	7	9	24	6	51	0	4	11	0	80	89	6	14	84	33	5	17	56	29	28	59	40	60	28	42	18	0	78
E15_rep1_clone00839	167	169	25	490	218	143	112	24	226	135	80	51	115	268	265	299	3	214	47	24	53	99	56	60	168	298	50	49	0	41	1	7	13	15	15	45	25	27	0	3	28	0	53	95	12	24	42	20	13	22	26	36	46	43	45	55	34	52	31	0	34
E15_rep1_clone00844	252	138	24	364	271	134	120	0	138	124	32	64	59	300	140	290	0	195	77	19	95	88	76	35	125	155	21	59	21	67	0	6	12	7	10	40	17	27	0	1	18	6	70	115	7	26	56	17	12	18	33	30	47	57	41	50	19	25	24	1	54
E15_rep1_clone00845	269	4	2	32	42	27	25	0	46	4	40	0	4	6	64	17	7	0	0	6	36	0	68	13	61	255	8	67	0	56	0	1	3	6	3	8	1	8	6	0	7	3	33	15	4	4	49	14	2	7	22	6	16	28	19	5	20	4	11	1	50
E15_rep1_clone00846	205	30	16	84	47	79	31	13	48	63	42	47	15	161	57	246	0	84	28	10	87	24	12	12	216	226	25	70	0	41	0	0	11	7	7	15	5	32	0	4	10	3	33	62	3	9	41	9	6	9	20	25	28	29	11	43	24	19	6	1	34
