gene,species,replicate,exprval
3,c5264,R1,0
3,c5157,R1,0
3,c5365,R1,0
3,c5238,R1,0
3,c4917,R1,0
3,c5206,R1,0
3,c5168,R1,0
3,c5109,R1,0
3,c4944,R1,0
3,c5281,R1,0
3,c4902,R1,0
3,c5176,R1,1
3,c5251,R1,0
3,c5148,R1,0
3,c5197,R1,0
3,c4898,R1,0
3,c4906,R1,0
3,c5269,R1,0
3,c4946,R1,0
3,c5399,R1,0
3,c4961,R1,0
3,c4974,R1,0
3,c5220,R1,0
3,c5353,R1,2
3,c4991,R1,0
3,c4976,R1,0
3,c5267,R1,0
3,c4947,R1,0
3,c5406,R1,1
3,c5222,R1,0
3,c5247,R1,0
4,c5171,R1,0
4,c5004,R1,0
4,c5215,R1,0
4,c5183,R1,7
4,c5184,R1,2
4,c5058,R1,0
4,c4920,R1,0
4,c5214,R1,0
4,c5141,R1,3
4,c5142,R1,0
4,c5391,R1,0
4,c5392,R1,0
4,c4997,R1,2
4,c5259,R1,0
4,c5260,R1,0
4,c4989,R1,0
4,c4990,R1,0
4,c5255,R1,0
4,c5256,R1,0
4,c5246,R1,0
4,c5122,R1,0
4,c5024,R1,0
4,c5385,R1,0
4,c5333,R1,0
4,c4965,R1,0
4,c4978,R1,0
4,c5397,R1,0
4,c5106,R1,0
4,c5230,R1,0
4,c5130,R1,0
4,c5063,R1,0
4,c5408,R1,0
4,c5140,R1,0
4,c4958,R1,0
4,c5124,R1,0
4,c5043,R1,0
4,c5524,R1,0
4,c5532,R1,0
4,c5483,R1,0
4,c5484,R1,1
4,c5434,R1,0
4,c5472,R1,0
4,c5436,R1,11
4,c5515,R1,0
4,c5529,R1,0
4,c5419,R1,0
4,c5533,R1,0
4,c5534,R1,1
4,c5485,R1,0
4,c5461,R1,0
4,c5462,R1,0
4,c5542,R1,0
4,c5482,R1,0
4,c5431,R1,0
4,c5429,R1,0
4,c5430,R1,0
4,c5479,R1,0
4,c5478,R1,0
4,c5442,R1,0
4,c5494,R1,0
4,c5443,R1,0
