ID	gene	h0_r	h0_mu	h0_sigma	h1_r	h1_alpha	h1_sigma	h1_theta	h0	h1	lr	p	signif	q
404	404	148.41316	-2.3004978	4.6672144	146.38783	3.2372787	7.4578934	-1.9427897	134.43655	121.962845	24.947418	5.9604645e-07	True	4.448107819059001e-06
118	118	148.41316	-0.3795237	3.8371525	148.41316	3.6211638	6.6833644	-0.578058	145.56468	133.19566	24.738037	6.556511e-07	True	4.820963915656594e-06
270	270	148.41316	0.5718857	3.8149533	148.41316	3.227634	6.225232	0.4903888	133.08217	120.79591	24.57251	7.1525574e-07	True	5.108969552176339e-06
210	210	148.41316	-0.16832004	2.8803566	148.41316	5.168824	5.660161	-0.54921514	184.20859	171.92958	24.558014	7.1525574e-07	True	5.108969552176339e-06
317	317	148.41316	-0.26158026	3.6292412	148.41316	4.03909	6.35804	-0.3754267	172.42746	160.18137	24.492188	7.748604e-07	True	5.1657358805338544e-06
483	483	106.15733	1.6472887	3.8027682	133.21114	5.1211967	7.25334	2.142552	-17.961826	-30.156757	24.389862	7.748604e-07	True	5.1657358805338544e-06
415	415	110.59453	-0.52765095	4.3568025	148.41316	3.1395671	7.054696	-0.4292444	126.98758	114.74315	24.488861	7.748604e-07	True	5.1657358805338544e-06
354	354	100.94283	2.2240927	4.269456	148.41316	4.024196	7.484086	2.3823085	-72.08284	-84.32537	24.485062	7.748604e-07	True	5.1657358805338544e-06
207	207	148.41316	-0.03196423	3.6794739	148.41316	3.3245437	5.9830337	0.33360395	152.5122	140.28174	24.460938	7.748604e-07	True	5.1657358805338544e-06
136	136	118.49423	3.4200945	4.379163	148.41316	3.1726785	6.8323894	3.5245495	-312.5609	-324.71616	24.310486	8.34465e-07	True	5.418604070490057e-06
200	200	148.41316	0.91672957	3.3718154	98.912056	3.697441	5.6801353	1.0330001	129.73413	117.61786	24.232544	8.34465e-07	True	5.418604070490057e-06
293	293	148.41316	0.6350054	3.2734025	79.48326	3.9082224	5.7705293	0.66668236	150.78333	138.69371	24.17923	8.940697e-07	True	5.7312158437875605e-06
113	113	148.41316	0.12461418	4.3774753	148.41316	3.9200342	7.5014157	-0.17748936	154.58905	142.63257	23.912964	1.013279e-06	True	6.332993507385254e-06
