ID	gene	h0_r	h0_mu	h0_sigma	h1_r	h1_alpha	h1_sigma	h1_theta	h0	h1	lr	p	signif	q
221	221	148.41316	1.5813891	3.7244816	148.41316	9.749042	9.004017	1.5865237	98.30379	78.79772	39.01213	0.0	True	0.0
370	370	7.6796966	0.892819	4.479685	10.370104	7.2555966	9.967015	0.77984613	98.47266	80.24486	36.455597	0.0	True	0.0
239	239	113.822876	-0.054937083	3.8971195	95.44839	6.822201	7.936289	0.24691835	164.47467	146.30061	36.348114	0.0	True	0.0
238	238	148.41316	-0.20959207	3.2161818	92.78423	8.778566	7.1650834	0.017487155	197.10294	176.14462	41.916626	0.0	True	0.0
237	237	46.466972	1.9155967	4.2914147	58.234276	5.081776	7.6489944	1.9952805	10.523283	-5.3408127	31.728191	0.0	True	0.0
235	235	10.65996	0.75895715	4.0751147	32.543255	5.3256574	8.323002	0.544992	120.57437	103.85242	33.44391	0.0	True	0.0
381	381	135.53467	1.4422889	4.674786	78.0111	5.90999	8.99557	1.3597736	49.94668	32.576393	34.74057	0.0	True	0.0
380	380	22.900087	1.817725	3.918386	148.41316	10.850142	10.575873	1.9721634	35.70403	14.679398	42.049263	0.0	True	0.0
376	376	9.484174	1.585613	4.195127	13.250608	12.822349	11.4118595	1.438295	78.55449	55.15477	46.79944	0.0	True	0.0
285	285	10.687233	0.19643784	3.8035543	6.6709323	6.4288783	7.274587	0.33714136	145.59273	129.32452	32.536407	0.0	True	0.0
374	374	34.415398	1.2714406	3.9061232	25.34391	8.652581	8.535137	1.5752977	88.39308	68.287445	40.211273	0.0	True	0.0
373	373	77.27505	1.7262475	3.5446644	68.68077	7.2907662	7.4092565	1.7737707	77.62735	56.515156	42.22439	0.0	True	0.0
371	371	141.28754	0.36696824	3.465341	148.41316	6.7095294	6.9437385	0.29098868	185.50601	165.77661	39.4588	0.0	True	0.0
391	391	40.118214	0.8916438	3.650448	32.883644	8.644636	8.138359	1.3695738	110.9896	93.66103	34.657135	0.0	True	0.0
389	389	42.943275	0.64506555	3.4709876	148.41316	6.294557	7.2275805	0.71371937	152.061	133.48373	37.15454	0.0	True	0.0
386	386	20.691866	1.5228614	4.2144065	32.383087	5.785922	8.144946	1.4760284	52.040573	31.629936	40.821274	0.0	True	0.0
385	385	6.9460893	0.92326975	4.632874	6.865987	7.4716215	9.639878	1.0467296	73.77447	53.976913	39.595108	0.0	True	0.0
384	384	113.81778	0.79395384	3.3638465	19.63667	16.48675	10.239046	0.8121217	166.54956	144.32072	44.457672	0.0	True	0.0
60	60	59.652653	1.4563198	3.4752843	148.41316	6.0245366	6.6857824	1.4902571	109.892685	91.32973	37.125916	0.0	True	0.0
358	358	59.139797	1.8391749	3.9944334	148.41316	5.448607	7.66847	1.8513644	31.570818	13.307358	36.52692	0.0	True	0.0
495	495	15.672579	0.6109907	3.5942938	3.4020476	27.780277	10.608497	0.6206114	180.05106	152.0998	55.902527	0.0	True	0.0
493	493	16.416683	1.664182	3.9939256	91.87357	5.483888	8.544344	1.27615	77.25662	60.3248	33.863647	0.0	True	0.0
492	492	90.076004	-0.10119959	4.4761605	89.232025	4.1703534	7.542858	0.22988124	125.07875	109.700226	30.75705	0.0	True	0.0
491	491	148.41316	-1.0226918	3.7046478	148.41316	7.110974	7.972058	-0.67331713	175.47765	158.15866	34.63797	0.0	True	0.0
489	489	130.74771	0.3690227	3.7497594	37.9872	8.650095	8.259123	0.20179527	174.50555	155.51935	37.972412	0.0	True	0.0
488	488	33.892334	1.477008	3.526682	18.813503	16.991629	10.464904	1.2445668	136.1234	115.07177	42.103256	0.0	True	0.0
487	487	6.9145203	0.7815285	3.9513893	21.937683	13.255176	12.229724	0.96580076	108.90796	85.93097	45.95398	0.0	True	0.0
362	362	8.701638	-0.06867947	3.8681977	9.442379	17.128128	12.117372	-0.1949395	175.56873	151.15997	48.817505	0.0	True	0.0
360	360	17.968836	0.48107156	3.8773985	24.792963	7.660884	8.906666	0.38371566	146.97649	128.54803	36.856903	0.0	True	0.0
359	359	68.54124	0.35908738	4.172653	145.46335	5.249427	7.801583	0.09708917	163.98792	146.70938	34.557068	0.0	True	0.0
496	496	99.70742	0.7116358	3.7794964	22.353756	9.275717	8.311394	0.6428239	161.38548	140.00182	42.767334	0.0	True	0.0
357	357	132.74521	-0.46483627	3.928425	75.42183	6.3633657	7.5322967	-0.35936534	175.69885	156.13881	39.120087	0.0	True	0.0
19	19	19.363852	2.2089818	3.6835098	33.473392	5.4059863	7.579464	2.1757822	-36.198414	-53.833458	35.27009	0.0	True	0.0
18	18	148.41316	0.50401515	4.0497584	61.22916	8.290989	8.299722	0.6371624	162.01184	142.47095	39.081787	0.0	True	0.0
369	369	96.88923	1.0319206	4.2668734	92.69584	13.128084	11.133543	0.8872204	144.48477	120.93153	47.106476	0.0	True	0.0
366	366	148.41316	0.18674636	3.5328908	117.87972	6.8689137	7.375559	0.3813563	173.66377	156.52002	34.287506	0.0	True	0.0
365	365	86.8772	-0.31115353	4.010808	95.4452	6.3327985	8.670644	-0.40570363	161.46538	145.31664	32.297485	0.0	True	0.0
364	364	8.517754	1.4847153	3.6178157	18.981993	4.8342147	7.3817697	1.301097	76.53058	60.275856	32.509445	0.0	True	0.0
363	363	43.753593	0.10902438	3.7618015	72.16028	34.445904	15.686518	0.28584874	189.07907	161.96867	54.220795	0.0	True	0.0
32	32	9.245219	0.85760564	3.7601538	7.895118	22.483303	12.523179	0.8260353	155.67482	129.79398	51.76169	0.0	True	0.0
472	472	13.899235	-0.19224083	4.375585	41.533913	5.0125937	8.331388	-0.11566736	139.19931	121.793655	34.81131	0.0	True	0.0
49	49	94.710526	1.2380553	3.477056	148.41316	8.150597	7.392414	1.0334221	157.0648	136.12926	41.871094	0.0	True	0.0
48	48	148.41316	-0.29402614	4.1984835	148.41316	6.8625617	8.44067	-0.4241683	170.13947	151.94507	36.388794	0.0	True	0.0
46	46	14.731972	-0.06425637	4.6015754	24.141165	15.033354	13.153847	0.05219311	159.4468	133.83652	51.22055	0.0	True	0.0
45	45	24.24791	0.90680945	4.241332	28.916079	6.5917253	8.144188	0.9359648	118.21947	99.450714	37.537506	0.0	True	0.0
44	44	5.136296	0.86600953	3.353404	2.3953352	25.874977	9.613583	1.1921122	140.33214	111.76382	57.136642	0.0	True	0.0
43	43	43.409176	2.0289154	3.7051907	80.20668	6.031468	7.720697	1.920524	52.838684	35.77083	34.13571	0.0	True	0.0
42	42	125.22552	0.94285035	4.6276903	21.824936	16.004095	12.894854	0.771166	131.4563	112.27921	38.35417	0.0	True	0.0
474	474	148.41316	-0.24518728	3.8565853	113.02442	18.730333	12.244343	-0.08176409	190.62714	164.64061	51.973053	0.0	True	0.0
473	473	30.300161	1.4697978	3.6232061	93.12021	8.413562	9.091781	1.6382692	75.57214	55.740437	39.663414	0.0	True	0.0
29	29	148.41316	0.44906583	3.4052444	56.859818	19.858023	9.810287	0.6871967	193.54391	165.92247	55.24289	0.0	True	0.0
471	471	36.95986	1.5801806	4.3691154	38.6107	4.6743073	7.812913	1.785466	8.794781	-7.881531	33.352623	0.0	True	0.0
469	469	22.67073	1.7116925	3.5594943	30.156248	5.555746	6.992955	1.6382779	51.116535	32.928318	36.376434	0.0	True	0.0
468	468	90.97397	0.3453784	3.9260585	148.41316	4.839108	6.8310027	0.34173974	166.8598	149.34216	35.03528	0.0	True	0.0
467	467	148.41316	0.30729145	3.9589615	148.41316	10.423703	8.94006	0.31837738	181.04721	160.4927	41.10901	0.0	True	0.0
486	486	10.815018	-0.9351169	5.1146083	37.931767	6.6104965	10.656979	-1.098571	143.8381	124.00708	39.66205	0.0	True	0.0
484	484	9.731879	1.5720599	3.9610949	12.766158	4.89357	7.3985825	1.4265183	62.54779	45.974426	33.14673	0.0	True	0.0
482	482	57.064804	0.39788112	3.799136	53.25467	5.5701804	7.1626205	0.7163631	133.94223	116.66615	34.552155	0.0	True	0.0
479	479	17.019625	1.6926773	3.9279134	33.954117	4.333671	7.435871	1.7435782	23.195704	7.0554276	32.280552	0.0	True	0.0
478	478	9.959235	2.604787	4.309965	11.604491	6.2439113	8.994579	2.7525322	-156.48993	-172.66388	32.3479	0.0	True	0.0
346	346	30.881056	-0.9179519	4.5361013	127.410126	5.6893535	8.505886	-0.4937425	148.43335	129.13885	38.58899	0.0	True	0.0
323	323	128.7643	0.3285845	4.205926	79.72175	5.5395126	7.9238224	0.31307623	149.2543	131.9826	34.543396	0.0	True	0.0
340	340	148.41316	-0.016725836	3.92544	138.80714	8.939192	8.437655	0.096826	183.004	163.1997	39.60858	0.0	True	0.0
339	339	148.41316	0.5017597	4.873011	105.74114	4.414166	8.44799	0.3424916	118.16235	102.57484	31.175034	0.0	True	0.0
338	338	15.780392	0.81318337	3.6114123	33.496334	14.419219	11.263359	0.7173219	151.35262	128.84354	45.018158	0.0	True	0.0
334	334	36.042686	1.1069419	4.3583055	123.18648	4.839968	7.7452083	1.0147785	104.84513	89.47717	30.735916	0.0	True	0.0
333	333	27.732153	0.31671268	3.4867797	7.674068	14.789991	9.347855	0.4403452	171.27899	154.68634	33.185303	0.0	True	0.0
