ID	gene	h0_r	h0_alpha	h0_sigma	h0_theta_pro	h0_theta_diff	h1_r	h1_alpha	h1_sigma	h1_theta_pro	h1_theta_da	h1_theta_glu	h0	h1	lrt	p	q	signif
54	Ywhae	95.278946	10.414415	14.792722	17.296186447143555	19.563182830810547	66.20874	8.485049	10.45484	17.157983779907227	18.37221908569336	22.16691398620605	-6617.433	-6623.112	11.357422	0.0014992503748125937	0.004354965374455629	True
5	Ppia	182.08116	16.362919	74.83177	40.68095016479492	61.99504852294922	1096.6332	13.317794	62.21679	40.681827545166016	57.33531188964844	71.38502502441406	-32683.217	-32693.71	20.988281	0.001999000499750125	0.0055426832038526185	True
57	Calm2	9.317366	23.70444	32.374355	10.193558692932127	23.0487060546875	12.22171	22.086771	28.107521	9.945777893066406	19.88851356506348	28.52195167541504	-8078.788	-8090.0596	22.542969	0.0024987506246876563	0.006627121221997698	True
36	Eif4a1	7.0905857	13.35267	9.878045	3.391871213912964	7.651829242706299	6.966507	11.931659	7.819087	3.371447801589966	6.777698040008545	9.387569427490234	-1304.7753	-1309.3163	9.082031	0.0029985007496251873	0.007621189405297351	True
60	Rps2	275.3425	7.887741	23.530787	36.93851852416992	33.31406784057617	50.390667	8.101112	13.661012	37.13417434692383	35.09403610229492	29.877330780029297	-15273.492	-15279.558	12.130859	0.00399800099950025	0.009755122438780609	True
30	Mab21l2	3.517685	5.840603	13.104055	-5.571121692657471	-4.124348163604736	15.570926	6.4817595	13.128303	-5.675199508666992	-5.6209211349487305	-2.0630228519439697	79.74805	75.58357	8.328949	0.004497751124437781	0.010552416099642485	True
1	Tubb5	27.765612	19.70928	117.69596	16.227313995361328	55.36141586303711	11.95046	19.642141	87.93936	14.812039375305176	50.800479888916016	64.69235229492188	-28871.844	-28887.45	31.210938	0.004997501249375313	0.011290650970810891	True
42	Rpsa	311.15927	11.463963	36.727642	32.06471633911133	40.127777099609375	310.89944	16.849386	42.800644	31.862110137939453	41.74506378173828	36.93903350830078	-18409.219	-18414.729	11.019531	0.008995502248875561	0.01959734418505033	True
16	Nfia	3.1119242	32.502617	31.345083	9.869950294494627	-3.165648460388184	3.18366	29.547493	28.274782	9.73748016357422	-2.177519559860229	-5.071887969970703	-160.94043	-164.619	7.357147	0.009495252373813094	0.01997277223457237	True
10	Calm1	21.577085	7.5779867	26.50751	35.29230117797852	23.494295120239254	10.442944	9.298704	11.783304	36.695919036865234	21.217227935791016	28.29399681091309	-10470.265	-10477.64	14.75	0.011494252873563218	0.023371647509578545	True
58	Hsp90aa1	12.646461	5.815454	11.581691	13.0563383102417	13.470882415771484	11.656891	6.4210844	11.055289	12.820597648620604	12.454812049865724	15.55656909942627	-3878.1187	-3882.5488	8.860352	0.01199400299850075	0.023601102674469215	True
32	Hist3h2ba	18.11069	14.649959	17.202818	6.13227653503418	10.169963836669922	13.956297	15.616056	15.830241	6.0167412757873535	9.536629676818848	11.392675399780272	-2230.3936	-2233.7021	6.6171875	0.014492753623188406	0.027626811594202896	True
8	Actg1	179.47029	20.71298	117.564316	50.29829788208008	74.40165710449219	183.01314	18.655693	103.084076	50.1642951965332	70.56279754638672	80.86449432373047	-42312.062	-42322.09	20.054688	0.01899050474762619	0.03510366029106659	True
35	Prdx2	141.23029	7.3948855	16.978764	18.896371841430664	21.84917640686035	88.786	8.481271	15.917978	18.62763023376465	20.537450790405277	24.363555908203125	-7750.094	-7753.676	7.163086	0.021989005497251374	0.03945086280389218	True
37	Ly6h	27.582817	9.190051	14.921088	14.88697910308838	26.89404296875	30.583399	9.88034	15.95799	14.918545722961426	27.825708389282227	24.692481994628903	-9345.414	-9349.2	7.5722656	0.0239880059970015	0.04180766759477404	True
26	Ndufa4	100.38709	10.785938	16.127928	15.775096893310549	19.012596130371094	264.07404	9.992839	16.1371	15.728328704833984	18.093149185180664	20.88853073120117	-6269.567	-6272.5537	5.973633	0.03398300849575212	0.05758231995113554	False
21	Tubb3	18.661484	18.952549	98.10523	10.369657516479492	40.6786003112793	9.800488	17.150694	66.43882	9.717596054077148	34.80508804321289	53.059600830078125	-18976.11	-18983.783	15.347656	0.03548225887056472	0.05849777813795805	False
33	Atxn10	62.334045	10.405767	6.9692674	4.453752517700195	5.3586745262146	94.661896	9.019993	6.30053	4.427670001983643	5.010048389434815	6.082398891448975	-587.9677	-590.17194	4.4084473	0.03798100949525238	0.06096951524237881	False
53	Rps29	231.3032	6.637518	15.479771	26.557632446289062	26.6483097076416	184.56369	8.739851	17.030478	26.53365135192871	27.76839828491211	24.64643096923828	-10661.157	-10664.113	5.9121094	0.04147926036981509	0.06487781750150565	False
20	Ftl1	88.12947	6.589148	33.974712	44.33768844604492	48.20927810668945	48.543766	7.0720687	29.043615	44.343528747558594	50.1391716003418	44.14554977416992	-23602.719	-23607.541	9.644531	0.04847576211894053	0.07392553723138431	False
