gene_index	gene	corr_pseudotime_glu	corr_pseudotime_da	corr_da_minus_glu	lavous_p	lavous_q	lavous_signif	lavous_lrt
336	1700019D03Rik	0.018844814999891685	-0.012256095918389987	-0.031100910918281672			False	
337	Mstn		0.03464891545372582				False	
338	1700019A02Rik		-0.019895531463383517				False	
339	Pms1	0.009644963932955195	-0.010946034661890447	-0.020590998594845644			False	
340	Gm28777						False	
341	Ormdl1	0.1586118650791751	0.10896665146791494	-0.04964521361126016			False	
342	Osgepl1	-0.022855637032787465	0.0354784043522615	0.05833404138504897			False	
343	Asnsd1	0.05474073267403819	0.03399769264355899	-0.0207430400304792			False	
344	Asdurf						False	
345	Dnah7a	-0.2447366367770058	-0.10523085675177372	0.13950578002523206			False	
346	Stk17b	-0.258586979963161	-0.2535146428569736	0.0050723371061873745			False	
347	Hecw2	0.17909242649734813	0.16350763508804533	-0.0155847914093028			False	
348	Ccdc150	-0.11240184314349162	-0.10244506550056609	0.009956777642925532			False	
349	Gtf3c3	0.0034469720895777527	0.036820076325572326	0.03337310423599457			False	
350	Gm34066						False	
351	Pgap1	0.20186909781308565	0.10058075765410525	-0.1012883401589804			False	
352	Ankrd44	0.14304168852096197	0.055400772104852315	-0.08764091641610966			False	
353	4930444A19Rik						False	
354	Sf3b1	0.03290946755557938	-0.06482356825395687	-0.09773303580953624			False	
355	Coq10b	0.04992931065393209	0.03933510478751428	-0.010594205866417808			False	
356	Hspd1	0.08177299160857526	0.009813595461605297	-0.07195939614696997			False	
357	Hspe1	-0.17985844529448844	-0.04655970175677685	0.1332987435377116			False	
358	Mob4	0.12987577066306835	0.10114014061624825	-0.0287356300468201			False	
359	Rftn2	-0.1271043064395071	-0.15790635190353258	-0.030802045464025485			False	
360	Gm10561		-0.017902333212532172				False	
361	Mars2	0.1452386729842325	0.10374675557785808	-0.04149191740637441			False	
362	Boll						False	
363	Plcl1	0.009829740425991405	0.2192694251821716	0.2094396847561802			False	
364	9130227L01Rik						False	
365	1700003I22Rik						False	
366	Gm28240						False	
367	Hsfy2						False	
368	Satb2	-0.02349614542313323	-0.04261031052126261	-0.01911416509812938			False	
369	9130024F11Rik	-0.06828098626000141	-0.07937563194045318	-0.011094645680451765			False	
370	1700126A01Rik						False	
371	BC055402	-0.10542920129850766	-0.09672528214179679	0.008703919156710871			False	
372	4930558J18Rik						False	
373	1700066M21Rik	-0.051295760884685904	-0.02595867735563525	0.025337083529050654			False	
374	Tyw5	0.03689543515721556	-0.010322169747313066	-0.04721760490452862			False	
375	Maip1	-0.03369902425660436	-0.08674437596179527	-0.05304535170519091			False	
376	Spats2l	-0.38407991034844535	0.06795359869773152	0.4520335090461769			False	
377	Gm17234						False	
378	Kctd18	0.030146279092138434	0.038896510018719306	0.008750230926580872			False	
379	Sgo2a	-0.08088756025695847	0.008490589120950728	0.0893781493779092			False	
380	Aox1						False	
381	Aox3						False	
382	Aox4	0.04358125688845258					False	
383	Gm15759						False	
384	Aox2						False	
385	Bzw1	0.10687590529458398	0.1335728022651925	0.026696896970608522			False	
386	Clk1	-0.06731272437120493	-0.08323211975725792	-0.015919395386052984			False	
387	Ppil3	-0.04937954082209333	0.0751277772047296	0.12450731802682294			False	
388	Nif3l1	0.17154906274893406	0.12273719724499177	-0.04881186550394229			False	
389	Orc2	-0.07199835594672266	-0.0783014475241707	-0.0063030915774480445			False	
390	Gm15834	-0.052523646024020244	-0.08428599705979888	-0.03176235103577863			False	
391	Fam126b	0.021887367880020554	0.08312048446494501	0.06123311658492445			False	
392	Ndufb3	-0.06059328857557953	-0.0673686284900372	-0.0067753399144576745			False	
