"gene","OUM_loglik","OUM_AICc","OUM_delta_aicc","OUM_aicc_weight","OUM_alpha","OUM_sigma_sq"
"31",-190.87777756914,389.96719534992,0,0.999844,0.222182594269866,0.212355770847789
"32",-196.904933050871,402.021506313382,0,0.999836,0.272364249940415,0.266726673424423
"33",-173.129455111351,354.470550434342,0,0.999964,0.289319023049223,0.219617448413715
"34",-201.625977515597,411.463595242835,0,0.935126,0.302804818946731,0.306258662105199
"35",-187.77199086444,383.75562194052,0,0.91946,0.310030268836437,0.270929073271348
"36",-178.002277967348,364.216196146335,0,0.999996,0.297828263176003,0.236683628297896
"37",-162.331525141445,332.874690494531,0,0.999118,0.15868968906037,0.12304866376194
"38",-199.538553238909,407.288746689459,1.4207591123066,0.329515,0.353159352434988,0.342705930207346
"39",-190.432979110687,389.077598433015,0,0.825044,0.175323414948348,0.176059175205706
"40",-195.629489499976,399.470619211593,0,0.744777,0.360301405714864,0.335005992247246
"41",-166.611854772445,341.435349756531,1.87332175759002,0.281575,0.44913461838597,0.3032070790089
"42",-153.642752755867,315.497145723373,0,1,0.578588781777352,0.336220721058862
"43",-182.279406194312,372.770452600264,0,0.999999,0.354468453143231,0.287813021909962
"44",-176.305428805276,360.822497822192,1.98240640287565,0.270674,0.219540375965346,0.180997030303989
"45",-174.365354072047,356.942348355735,0,0.996352,0.163093936739582,0.141812039815102
"46",-167.890537375393,343.992714962427,0,0.999396,0.278073113407853,0.201224998100347
"47",-180.662710074702,369.537060361043,0,0.997697,0.212558390684608,0.184582950934312
"48",-193.091222792204,394.394085796049,0,0.999996,0.372257244595145,0.335989710268508
"49",-210.959993532277,430.131627276194,0,0.799532,0.415489421382683,0.446020523652467
"50",-180.576396985524,369.364434182689,0,0.999981,0.226032772281766,0.193584104403833
"51",-193.565232724678,395.342105660997,1.97978316907216,0.270933,0.290412492594062,0.27201384489737
"52",-176.775631216782,361.762902645203,0,1,0.282799933263307,0.223685165009761
"53",-185.891327263197,379.994294738033,0,0.999962,0.275554993862343,0.240382890165047
"54",-183.777973781296,375.767587774232,0,1,0.3778865553035,0.309414254747506
"55",-163.184604750462,334.580849712564,0,0.999999,0.248583161039814,0.174692766839217
"56",-183.375391895667,374.962424002974,0,0.999566,0.387012487204783,0.314700930910825
"57",-191.679479809434,391.570599830509,0,0.715956,0.384040843513447,0.34051198501529
"58",-198.517330455762,405.246301123165,0,0.538309,0.239923167184066,0.244318736646019
"59",-166.210841632771,340.633323477183,0,1,0.232442398849751,0.170698000338608
"60",-187.342816765754,382.897273743148,0,0.999999,0.705942411678964,0.57669244271654
"61",-185.912006534407,380.035653280454,0,1,0.397340217263546,0.330838918875109
"62",-202.824021780183,413.859683772007,0.777809381312181,0.403981,0.351441383955167,0.352964926687801
"63",-198.038111965183,404.287864142007,0,0.949145,0.20533930351136,0.214937282583101
"64",-191.482392035525,391.176424282689,0,0.598622,0.268820682425294,0.249473345247223
"65",-186.894537057064,382.000714325768,0,1,0.339980261819401,0.290855353936091
"66",-178.386375063823,364.984390339286,0,0.981454,0.25802744835696,0.210702650467698
"67",-174.424261998484,357.060164208608,0,0.999997,0.285354465822146,0.219749483019046
"68",-181.085061138175,370.38176248799,0,0.999982,0.363988015031258,0.290984145581518
"69",-173.45964105033,355.1309223123,0,0.997968,0.19985828205489,0.163361932558123
"70",-196.34569829402,400.90303679968,0,0.982475,0.156869449972484,0.173035487055877
"71",-175.284100998998,358.779842209637,0,0.912623,0.238740339129695,0.191508165919619
"72",-187.77726629756,383.76617280676,0,0.977158,0.232140071392382,0.212981440161579
"73",-192.403143883574,393.017927978787,0,0.998544,0.21523744879671,0.210388383114758
"74",-194.671173140245,397.55398649213,0,0.977549,0.552114437809126,0.490949951703035
"75",-198.897649093196,406.006938398032,0,0.579756,0.23914550351028,0.244652882326529
"76",-182.915849283833,374.043338779306,0,0.997943,0.361721743504409,0.294902427820854
"77",-180.853057375442,369.917754962525,0,0.999975,0.281123041025162,0.23211392344833
"78",-184.758938458841,377.729517129323,0,0.513652,0.230903603629073,0.205579180685101
"79",-186.591386956661,381.394414124962,0,0.995759,0.220561745858625,0.202028466342211
"80",-197.946991528032,404.105623267704,0,0.972817,0.333912337300525,0.320924880603107
"81",-205.022841166857,418.257322545354,1.61341362712409,0.308593,0.379638178050732,0.38671644180755
"82",-200.970027264485,410.15169474061,0.99173457345006,0.378512,0.172711319706433,0.194463085218312
"83",-182.652684964014,373.517010139669,0,0.624885,0.292949111872554,0.244827139783926
"84",-176.325683068455,360.863006348549,0,0.998686,0.22489775189258,0.184543902826954
"85",-191.966129575971,392.143899363581,0.973129801524351,0.380703,0.325185086854567,0.294781557707507
"86",-186.110854879476,380.433349970592,0,0.999993,0.384392692207178,0.321772060964726
"87",-189.380667245863,386.972974703366,0,0.998227,0.240113495010806,0.222509560133818
"88",-189.702024983843,387.615690179327,0.875558590403159,0.39227,0.231112085601664,0.216382847978987
"89",-206.09531041637,420.402261044381,0,0.999991,0.462979463662042,0.468429687905704
"90",-191.012010702811,390.235661617261,0,0.823151,0.189829308464889,0.188277071754331
"91",-168.156443434874,344.524527081388,0,1,0.50545769278645,0.343851115890681
"92",-199.576339686456,407.364319584553,0,0.866849,0.614060674463078,0.57141254345065
"93",-173.41838495159,355.04841011482,0,1,0.994307478913454,0.6979011224868
"94",-196.291245875605,400.794131962849,0,0.999998,0.298033553746245,0.285994295138606
"95",-180.31470257059,368.841045352819,0,0.999991,0.301648852513002,0.245054255427223
"96",-185.48397839359,379.17959699882,0,0.953647,0.231132597801129,0.207279623389451
"97",-179.808343896303,367.828328004246,0,0.999981,0.209254085951823,0.180706886946732
"98",-186.038982698875,380.28960560939,0,0.999365,0.264780478648479,0.23289850400978
"99",-203.002480505924,414.216601223488,0,0.975736,0.461825249485728,0.45265360091837
"100",-198.745594798397,405.702829808434,0,0.999827,0.994274625635094,0.90610882832475
"101",-194.206539406433,396.624719024506,0.188569377294414,0.476446,0.259827787887775,0.249452366909988
"102",-179.420017457778,367.051675127197,0,0.999208,0.177817471042588,0.159114761239878
"103",-175.16457211536,358.54078444236,0,0.99791,0.188448755173597,0.159023732409577
"104",-194.875176134049,397.961992479739,0,0.762876,0.360209505701775,0.332403241870092
"105",-194.004035270923,396.219710753486,0,0.816175,0.208118076321261,0.208346692917198
"106",-193.510815925347,395.233272062334,0,0.999691,0.320673371110429,0.295959848193417
"107",-219.108623001579,446.428886214799,0,0.686959,0.338400515468772,0.403880217205571
"108",-196.882011483075,401.97566317779,0,0.996186,0.392340860198076,0.366257894288884
"109",-181.723293395972,371.658227003584,2.0512318765787,0.263935,0.299072280040021,0.246815793234221
"110",-155.2585839086,318.728808028841,0,0.998146,0.177483846480125,0.123874567968213
"111",-213.892699384701,435.997038981041,0,0.732221,0.353313629859838,0.397529486012722
