# logfile for VINE (version 0.3.4), Mon Apr 20 23:53:01 2026
# Host: bam07 [Linux, release 4.18.0-553.51.1.el8_10.x86_64, x86_64]
# Command line: vine --format CRISPR --migration 3724_NT_All_statelabels.csv --primary T1 \
#   --mean 3724_NT_All_vine_mean.nwk --nsamples 100 -j 16 \
#   3724_NT_All_character_matrix_representative.tsv --logfile \
#   3724_NT_All_vine.log --labeled-trees 3724_NT_All_vine_states.nex 
#
state	ll	elbo	kld	half_trHS	elbo_bias	penalty	mig_ll	sigma.0	nu	lead_t	mig[0]	mig[1]	mig[2]	mig[3]	mig[4]	mig[5]	mig[6]	mig[7]	mig[8]	mig[9]	
62	-15591.146450	-16235.946683	624.562751	2672.771627	0.000000	20.237483	0.000000	-1.964784	0.176899	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
63	-15494.874285	-16138.157692	623.981523	2672.771627	0.000000	19.301884	0.000000	-1.917432	0.175260	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
64	-15616.658197	-16258.437115	623.396186	2672.771627	0.000000	18.382732	0.000000	-1.869812	0.172034	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
65	-15538.195486	-16178.477044	622.800568	2672.771627	0.000000	17.480990	0.000000	-1.821951	0.167468	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
66	-15603.430124	-16242.222827	622.195181	2672.771627	0.000000	16.597521	0.000000	-1.773872	0.162508	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
67	-15668.279876	-16305.605192	621.592213	2672.771627	0.000000	15.733103	0.000000	-1.725597	0.157595	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
68	-15638.534553	-16274.413429	620.990445	2672.771627	0.000000	14.888430	0.000000	-1.677147	0.153465	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
69	-15542.433223	-16176.890272	620.392931	2672.771627	0.000000	14.064118	0.000000	-1.628540	0.150745	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
70	-15699.189291	-16332.248504	619.798495	2672.771627	0.000000	13.260718	0.000000	-1.579792	0.149580	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
71	-15579.530133	-16211.194244	619.185394	2672.771627	0.000000	12.478717	0.000000	-1.530918	0.149839	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
72	-15532.314267	-16162.612599	618.579787	2672.771627	0.000000	11.718545	0.000000	-1.481930	0.151451	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
73	-15597.823991	-16226.788887	617.984309	2672.771627	0.000000	10.980587	0.000000	-1.432842	0.152993	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
74	-15552.472937	-16180.135958	617.397842	2672.771627	0.000000	10.265179	0.000000	-1.383663	0.153819	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
75	-15576.427312	-16202.808767	616.808837	2672.771627	0.000000	9.572619	0.000000	-1.334404	0.153268	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
76	-15621.972649	-16247.114963	616.239144	2672.771627	0.000000	8.903170	0.000000	-1.285073	0.150921	0.000000	0.953511	1.020956	1.013919	1.016898	0.849056	0.916128	0.858486	1.027050	0.980579	0.845279	
