	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
4965	7	9	11	9	6	8	7	12	15	9	18	8	12	10	10	16	8	7	15	10	8	8	9	14	13	4	7	16	12	13	8	9	10	11	13	12	10	12	11	12	11	11	7	8	11	6	10	3	12	4	14	12	8	7	12	8	13	7	9	9	15	9	8	6	10	9	13	5	14	8	14	10	8	10	7	12	12	12	6	9	11	13	11	10	9	10	10	10	10	7	15	10	11	6	9	14	7	11	5	8
4969	6	6	16	10	7	10	10	8	12	9	13	19	17	13	14	12	7	5	9	9	6	9	9	6	7	13	14	10	15	9	9	14	7	10	10	8	12	6	15	7	16	12	8	12	10	8	9	3	11	10	19	14	9	6	16	8	20	13	12	15	9	8	7	5	12	11	11	6	10	11	6	13	16	8	8	11	7	10	17	6	13	12	14	7	9	10	10	13	10	9	14	8	15	10	10	6	10	13	9	10
4971	6	10	16	11	6	8	9	17	11	7	13	13	11	9	10	7	10	15	11	10	6	10	6	16	6	14	9	12	12	8	6	15	11	15	10	13	10	10	10	11	8	7	4	8	12	12	10	4	21	12	13	9	11	9	8	11	7	9	10	19	14	11	7	6	13	10	14	13	11	13	11	9	13	12	14	13	6	16	12	7	13	11	6	13	13	12	14	15	9	9	8	10	10	9	11	7	9	11	13	17
4974	12	10	13	7	8	9	9	6	12	7	9	10	10	9	10	7	12	8	7	15	4	11	8	8	7	9	9	9	10	9	9	13	13	15	15	11	10	11	6	17	9	12	10	11	16	10	10	11	10	8	6	7	13	9	7	15	8	6	14	8	11	13	8	16	8	5	8	11	6	10	13	9	12	19	11	9	15	14	5	15	9	16	8	8	11	7	9	11	8	10	12	19	10	8	8	7	6	12	8	8
4976	11	11	11	8	6	8	9	9	8	15	14	11	12	12	4	11	10	13	12	9	5	10	10	12	5	7	12	13	13	7	8	6	16	10	10	9	20	12	7	8	7	13	11	9	6	8	15	12	13	14	12	11	9	9	8	15	12	11	10	10	13	13	13	10	11	5	8	6	13	12	13	8	13	11	5	11	10	9	9	11	12	19	8	7	11	6	14	12	9	12	10	6	17	7	7	9	12	8	6	11
4978	8	6	11	7	3	8	11	15	2	14	3	11	15	8	8	8	12	10	7	10	13	6	14	9	17	8	12	10	14	10	9	9	12	13	8	6	6	9	10	8	14	9	8	10	9	5	5	15	14	9	7	10	11	9	16	7	12	13	9	13	14	9	12	16	8	8	12	6	16	6	10	13	12	7	8	9	10	8	13	11	7	12	15	13	8	13	7	12	10	10	16	6	16	11	12	9	11	13	9	10
4983	15	12	12	7	8	10	5	9	7	11	7	14	12	10	7	9	17	11	4	18	11	12	9	9	12	14	6	13	14	8	8	9	10	8	13	19	14	12	9	9	7	8	6	12	3	8	12	8	12	3	8	12	10	7	8	8	4	9	11	13	8	10	4	11	6	8	13	9	6	13	12	11	11	14	9	6	14	10	4	10	7	10	16	10	15	9	11	6	9	13	10	9	6	11	13	11	10	11	13	8
4984	12	12	7	10	9	5	6	9	10	7	6	8	13	6	6	10	11	12	13	12	12	11	11	18	11	13	12	16	7	9	15	12	16	13	5	6	5	8	10	12	12	11	13	6	11	11	10	9	15	6	8	13	11	9	8	9	8	6	9	8	17	7	5	11	5	10	12	15	3	11	14	8	9	13	11	10	18	5	7	9	8	9	11	7	14	11	18	11	11	8	10	14	12	9	7	10	12	8	4	13
4985	12	17	13	8	11	4	18	7	11	13	10	4	13	9	6	12	6	13	6	12	9	14	12	9	17	5	11	11	6	9	14	12	7	9	9	6	6	10	12	12	15	9	11	5	8	11	11	5	18	10	10	11	14	17	6	7	12	10	12	12	17	10	9	7	15	13	7	11	5	9	10	11	5	8	10	6	11	9	12	7	6	11	6	8	10	7	12	6	11	7	17	9	7	8	2	13	9	9	9	14
4989	12	11	17	12	5	8	9	14	14	9	11	11	6	15	14	14	12	13	7	12	9	9	14	7	12	8	12	9	11	13	11	11	12	11	11	7	10	5	10	13	12	8	14	7	6	9	20	13	8	14	7	14	20	4	12	12	17	9	7	10	13	8	9	8	13	12	5	9	15	12	7	15	6	16	14	12	14	5	7	13	11	11	9	13	10	8	11	10	8	10	14	8	3	6	11	13	11	15	3	7
