node,node2,regime
5040,5284,33
5040,5183,33
5040,5064,33
5040,5296,33
5040,5397,33
5040,5268,33
5040,5032,33
5040,5207,33
5040,5342,33
5040,5399,33
5040,5151,33
5040,5002,33
5040,5357,33
5040,5176,33
5040,4946,33
5040,5171,33
5040,4917,33
5040,5053,33
5040,5255,33
5040,4922,33
5040,5303,33
5040,5364,33
5040,5055,33
5040,5385,33
5040,5228,33
5040,5313,33
5040,5306,33
5040,5339,33
5040,5317,33
5040,5425,33
5040,5462,33
5040,5542,33
5040,5434,33
5040,5528,33
5040,5496,33
5040,5483,33
5040,5484,33
5040,5532,33
5040,5524,33
5040,5515,33
5040,5431,33
5040,5478,33
5040,5463,33
5040,5534,33
5040,5495,33
5040,5429,33
5040,5529,33
5040,5472,33
5040,5430,33
5040,5442,33
5040,5505,33
5040,5438,33
5040,5422,33
5040,5494,33
5040,5526,33
5040,5479,33
5040,5533,33
5040,5464,33
5040,5482,33
5040,5419,33
5040,5436,33
5040,5485,33
5040,5461,33
5040,5536,33
5040,5443,33
5040,5503,33
5008,5148,33
5008,5285,33
5008,5184,33
5008,4990,33
5008,5242,33
5008,5256,33
5008,5198,33
5008,5080,33
5008,4971,33
5008,5124,33
5008,4932,33
5008,5234,33
5008,5294,33
5008,5031,33
5008,5220,33
5008,4956,33
5008,5010,33
5008,5356,33
5008,4965,33
5008,4991,33
5008,4983,33
5008,4909,33
5008,4989,33
5008,5348,33
5008,5004,33
5008,5361,33
5008,5333,33
5008,5063,33
5008,5173,33
5008,5192,33
5008,4996,33
5008,4969,33
5008,5346,33
5008,5042,33
5008,5274,33
5008,5208,33
5008,5145,33
5008,5132,33
5008,4906,33
5008,4936,33
5008,5365,33
5008,5051,33
5008,4978,33
5008,5383,33
5008,5404,33
5008,5056,33
5008,5141,33
5008,4968,33
5008,5408,33
5008,5249,33
5008,5115,33
5008,5206,33
5008,5325,33
5008,5327,33
5008,5140,33
5008,5028,33
5008,5012,33
5008,4966,33
5008,5398,33
5008,5372,33
5008,5401,33
5008,4925,33
5008,5024,33
5008,5130,33
5008,5164,33
5008,5247,33
5008,5041,33
5008,5103,33
5008,5144,33
5008,5195,33
5008,5149,33
5008,4902,33
5008,5343,33
5008,5302,33
5008,5017,33
5008,5214,33
5008,5131,33
5008,5205,33
5008,5282,33
5008,5269,33
5008,5230,33
5008,4923,33
5008,5391,33
5008,5299,33
5008,4927,33
5008,5174,33
5008,4910,33
5008,5233,33
5008,5181,33
5008,5267,33
5008,5185,33
5008,4911,33
5008,4961,33
5008,5276,33
5008,5189,33
5008,5264,33
5008,4994,33
5008,5048,33
5008,4947,33
5008,5000,33
5008,5321,33
5008,4920,33
5008,5226,33
5008,5311,33
5008,5246,33
5008,5066,33
5008,5371,33
5008,5127,33
5008,5128,33
5008,5123,33
5008,5120,33
5008,5287,33
5008,5109,33
5008,5353,33
5008,5337,33
5008,5153,33
5008,4901,33
5008,4914,33
5008,5238,33
5008,5108,33
5008,5146,33
5008,4940,33
5008,4958,33
5008,4898,33
5008,5284,33
5008,5183,33
5008,5064,33
5008,5296,33
5008,5397,33
5008,5268,33
5008,5032,33
5008,5207,33
5008,5342,33
5008,5399,33
5008,5151,33
5008,5002,33
5008,5357,33
5008,5176,33
5008,4946,33
5008,5171,33
5008,4917,33
5008,5053,33
5008,5255,33
5008,4922,33
5008,5303,33
5008,5364,33
5008,5055,33
5008,5385,33
5008,5228,33
5008,5313,33
5008,5306,33
5008,5339,33
5008,5317,33
5008,5425,33
5008,5462,33
5008,5542,33
5008,5434,33
5008,5528,33
5008,5496,33
5008,5483,33
5008,5484,33
5008,5532,33
5008,5524,33
5008,5515,33
5008,5431,33
5008,5478,33
5008,5463,33
5008,5534,33
5008,5495,33
5008,5429,33
5008,5529,33
5008,5472,33
5008,5430,33
5008,5442,33
5008,5505,33
5008,5438,33
5008,5422,33
5008,5494,33
5008,5526,33
5008,5479,33
5008,5533,33
5008,5464,33
5008,5482,33
5008,5419,33
5008,5436,33
5008,5485,33
5008,5461,33
5008,5536,33
5008,5443,33
5008,5503,33
5148,5285,33
5148,5184,33
5148,4990,33
5148,5242,33
5148,5256,33
5148,5198,33
5148,5080,33
5148,4971,33
5148,5124,33
5148,4932,33
5148,5234,33
5148,5294,33
5148,5031,33
5148,5220,33
5148,4956,33
5148,5010,33
5148,5356,33
5148,4965,33
5148,4991,33
5148,4983,33
5148,4909,33
5148,4989,33
5148,5348,33
5148,5004,33
5148,5361,33
5148,5333,33
5148,5063,33
5148,5173,33
5148,5192,33
5148,4996,33
5148,4969,33
5148,5346,33
5148,5042,33
5148,5274,33
5148,5208,33
5148,5145,33
5148,5132,33
5148,4906,33
5148,4936,33
5148,5365,33
5148,5051,33
5148,4978,33
5148,5383,33
5148,5404,33
5148,5056,33
5148,5141,33
5148,4968,33
5148,5408,33
5148,5249,33
5148,5115,33
5148,5206,33
5148,5325,33
5148,5327,33
5148,5140,33
5148,5028,33
5148,5012,33
5148,4966,33
5148,5398,33
5148,5372,33
5148,5401,33
5148,4925,33
5148,5024,33
5148,5130,33
5148,5164,33
5148,5247,33
5148,5041,33
5148,5103,33
5148,5144,33
5148,5195,33
5148,5149,33
5148,4902,33
5148,5343,33
5148,5302,33
5148,5017,33
5148,5214,33
5148,5131,33
5148,5205,33
5148,5282,33
5148,5269,33
5148,5230,33
5148,4923,33
5148,5391,33
5148,5299,33
5148,4927,33
5148,5174,33
5148,4910,33
5148,5233,33
5148,5181,33
5148,5267,33
5148,5185,33
5148,4911,33
5148,4961,33
5148,5276,33
5148,5189,33
5148,5264,33
5148,4994,33
5148,5048,33
5148,4947,33
5148,5000,33
5148,5321,33
5148,4920,33
5148,5226,33
5148,5311,33
5148,5246,33
5148,5066,33
5148,5371,33
5148,5127,33
5148,5128,33
5148,5123,33
5148,5120,33
5148,5287,33
5148,5109,33
5148,5353,33
5148,5337,33
5148,5153,33
5148,4901,33
5148,4914,33
5148,5238,33
5148,5108,33
5148,5146,33
5148,4940,33
5148,4958,33
5148,4898,33
5148,5284,33
5148,5183,33
5148,5064,33
5148,5296,33
5148,5397,33
5148,5268,33
5148,5032,33
5148,5207,33
5148,5342,33
5148,5399,33
5148,5151,33
5148,5002,33
5148,5357,33
5148,5176,33
5148,4946,33
5148,5171,33
5148,4917,33
5148,5053,33
5148,5255,33
5148,4922,33
5148,5303,33
5148,5364,33
5148,5055,33
5148,5385,33
5148,5228,33
5148,5313,33
5148,5306,33
5148,5339,33
5148,5317,33
5148,5425,33
5148,5462,33
5148,5542,33
5148,5434,33
5148,5528,33
5148,5496,33
5148,5483,33
5148,5484,33
5148,5532,33
5148,5524,33
5148,5515,33
5148,5431,33
5148,5478,33
5148,5463,33
5148,5534,33
5148,5495,33
5148,5429,33
5148,5529,33
5148,5472,33
5148,5430,33
5148,5442,33
5148,5505,33
5148,5438,33
5148,5422,33
5148,5494,33
5148,5526,33
5148,5479,33
5148,5533,33
5148,5464,33
5148,5482,33
5148,5419,33
5148,5436,33
5148,5485,33
5148,5461,33
5148,5536,33
5148,5443,33
5148,5503,33
5285,5184,33
5285,4990,33
5285,5242,33
5285,5256,33
5285,5198,33
5285,5080,33
5285,4971,33
5285,5124,33
5285,4932,33
5285,5234,33
5285,5294,33
5285,5031,33
5285,5220,33
5285,4956,33
5285,5010,33
5285,5356,33
5285,4965,33
5285,4991,33
5285,4983,33
5285,4909,33
5285,4989,33
5285,5348,33
5285,5004,33
5285,5361,33
5285,5333,33
5285,5063,33
5285,5173,33
5285,5192,33
5285,4996,33
5285,4969,33
5285,5346,33
5285,5042,33
5285,5274,33
5285,5208,33
5285,5145,33
5285,5132,33
5285,4906,33
5285,4936,33
5285,5365,33
5285,5051,33
5285,4978,33
5285,5383,33
5285,5404,33
5285,5056,33
5285,5141,33
5285,4968,33
5285,5408,33
5285,5249,33
5285,5115,33
5285,5206,33
5285,5325,33
5285,5327,33
5285,5140,33
5285,5028,33
5285,5012,33
5285,4966,33
5285,5398,33
5285,5372,33
5285,5401,33
5285,4925,33
5285,5024,33
5285,5130,33
5285,5164,33
5285,5247,33
5285,5041,33
5285,5103,33
5285,5144,33
5285,5195,33
5285,5149,33
5285,4902,33
5285,5343,33
5285,5302,33
5285,5017,33
5285,5214,33
5285,5131,33
5285,5205,33
5285,5282,33
5285,5269,33
5285,5230,33
5285,4923,33
5285,5391,33
5285,5299,33
5285,4927,33
5285,5174,33
5285,4910,33
5285,5233,33
5285,5181,33
5285,5267,33
5285,5185,33
5285,4911,33
5285,4961,33
5285,5276,33
5285,5189,33
5285,5264,33
5285,4994,33
5285,5048,33
5285,4947,33
5285,5000,33
5285,5321,33
5285,4920,33
5285,5226,33
5285,5311,33
5285,5246,33
5285,5066,33
5285,5371,33
5285,5127,33
5285,5128,33
5285,5123,33
5285,5120,33
5285,5287,33
5285,5109,33
5285,5353,33
5285,5337,33
5285,5153,33
5285,4901,33
5285,4914,33
5285,5238,33
5285,5108,33
5285,5146,33
5285,4940,33
5285,4958,33
5285,4898,33
5285,5284,33
5285,5183,33
5285,5064,33
5285,5296,33
5285,5397,33
5285,5268,33
5285,5032,33
5285,5207,33
5285,5342,33
5285,5399,33
5285,5151,33
5285,5002,33
5285,5357,33
5285,5176,33
5285,4946,33
5285,5171,33
5285,4917,33
5285,5053,33
5285,5255,33
5285,4922,33
5285,5303,33
5285,5364,33
5285,5055,33
5285,5385,33
5285,5228,33
5285,5313,33
5285,5306,33
5285,5339,33
5285,5317,33
5285,5425,33
5285,5462,33
5285,5542,33
5285,5434,33
5285,5528,33
5285,5496,33
5285,5483,33
5285,5484,33
5285,5532,33
5285,5524,33
5285,5515,33
5285,5431,33
5285,5478,33
5285,5463,33
5285,5534,33
5285,5495,33
5285,5429,33
5285,5529,33
5285,5472,33
5285,5430,33
5285,5442,33
5285,5505,33
5285,5438,33
5285,5422,33
5285,5494,33
5285,5526,33
5285,5479,33
5285,5533,33
5285,5464,33
5285,5482,33
5285,5419,33
5285,5436,33
5285,5485,33
5285,5461,33
5285,5536,33
5285,5443,33
5285,5503,33
5184,4990,33
5184,5242,33
5184,5256,33
5184,5198,33
5184,5080,33
5184,4971,33
5184,5124,33
5184,4932,33
5184,5234,33
5184,5294,33
5184,5031,33
5184,5220,33
5184,4956,33
5184,5010,33
5184,5356,33
5184,4965,33
5184,4991,33
5184,4983,33
5184,4909,33
5184,4989,33
5184,5348,33
5184,5004,33
5184,5361,33
5184,5333,33
5184,5063,33
5184,5173,33
5184,5192,33
5184,4996,33
5184,4969,33
5184,5346,33
5184,5042,33
5184,5274,33
5184,5208,33
5184,5145,33
5184,5132,33
5184,4906,33
5184,4936,33
5184,5365,33
5184,5051,33
5184,4978,33
5184,5383,33
5184,5404,33
5184,5056,33
5184,5141,33
5184,4968,33
5184,5408,33
5184,5249,33
5184,5115,33
5184,5206,33
5184,5325,33
5184,5327,33
5184,5140,33
5184,5028,33
5184,5012,33
5184,4966,33
5184,5398,33
5184,5372,33
5184,5401,33
5184,4925,33
5184,5024,33
5184,5130,33
5184,5164,33
5184,5247,33
5184,5041,33
5184,5103,33
5184,5144,33
5184,5195,33
5184,5149,33
5184,4902,33
5184,5343,33
5184,5302,33
5184,5017,33
5184,5214,33
5184,5131,33
5184,5205,33
5184,5282,33
5184,5269,33
5184,5230,33
5184,4923,33
5184,5391,33
5184,5299,33
5184,4927,33
5184,5174,33
5184,4910,33
5184,5233,33
5184,5181,33
5184,5267,33
5184,5185,33
5184,4911,33
5184,4961,33
5184,5276,33
5184,5189,33
5184,5264,33
5184,4994,33
5184,5048,33
5184,4947,33
5184,5000,33
5184,5321,33
5184,4920,33
5184,5226,33
5184,5311,33
5184,5246,33
5184,5066,33
5184,5371,33
5184,5127,33
5184,5128,33
5184,5123,33
5184,5120,33
5184,5287,33
5184,5109,33
5184,5353,33
5184,5337,33
5184,5153,33
5184,4901,33
5184,4914,33
5184,5238,33
5184,5108,33
