ID	gene	h0_theta	h1_theta0	h1_theta1	h0	h1	LR	p	q	signif
95	96	5.2883635	5.499429702758789	0.9753888845443726	-4814.6865	-4860.509	45.822266	1.2948309091598276e-11	3.011234672464715e-11	True
10	11	3.8883471	3.7419464588165283	6.456453323364258	-5008.26	-5046.0796	37.819824	7.758929054801911e-10	1.7633929670004343e-09	True
11	12	6.035483	5.888769149780273	10.396614074707031	-5000.2974	-5034.9185	34.621094	4.0054236594144754e-09	8.9009414653655e-09	True
12	13	5.656992	5.587606906890869	7.340080738067627	-5080.8887	-5113.667	32.77832	1.0329042177126269e-08	2.245443951549189e-08	True
85	86	0.8644663	0.7270826101303101	7.008729934692383	-3894.4612	-3925.437	30.97583	2.6126177332663758e-08	5.55876113460931e-08	True
86	87	1.9689953	2.268922805786133	0.4616934657096863	-4096.8037	-4127.428	30.624512	3.131129278077793e-08	6.523185995995404e-08	True
46	47	5.175136	4.953356742858887	11.445765495300293	-4714.221	-4743.476	29.254883	6.345611869296164e-08	1.295022830468605e-07	True
0	1	2.9407055	2.7795753479003906	7.084905624389648	-4436.9966	-4463.462	26.465332	2.68310388906734e-07	5.36620777813468e-07	True
59	60	3.3005228	3.129903793334961	7.437557220458984	-4311.447	-4337.731	26.28418	2.9469281181970786e-07	5.778290427837408e-07	True
69	70	2.592452	2.3436057567596436	9.108842849731445	-4123.3726	-4149.3647	25.992188	3.4280177274581547e-07	6.592341783573374e-07	True
15	16	2.519659	2.430276870727539	4.047511100769043	-5286.911	-5312.726	25.814941	3.757682958127617e-07	7.089967845523806e-07	True
62	63	3.0526452	3.321666955947876	0.4616612195968628	-4171.195	-4196.3833	25.188477	5.199192721905277e-07	9.628134670194957e-07	True
48	49	5.2284994	5.44450569152832	0.6478214263916016	-4737.4424	-4762.478	25.035645	5.628020780523713e-07	1.023276505549766e-06	True
54	55	6.8839087	6.958136558532715	5.382261753082275	-5569.199	-5593.3613	24.16211	8.855757032133482e-07	1.5813851843095502e-06	True
99	100	3.8510714	3.7334909439086914	6.445047378540039	-4468.8667	-4491.7607	22.894043	1.7118154844730782e-06	3.0031850604790847e-06	True
74	75	1.4776902	1.3045581579208374	6.833962917327881	-3934.7505	-3957.2207	22.470215	2.134274797005453e-06	3.679784132768023e-06	True
16	17	3.753059	3.6434144973754883	5.634047508239746	-5362.485	-5384.4575	21.972656	2.765627012846217e-06	4.687503411603758e-06	True
73	74	4.102447	4.02158260345459	5.574373722076416	-4933.9688	-4955.8467	21.87793	2.905565383959363e-06	4.842608973265605e-06	True
33	34	1.8435512	2.228916645050049	0.46318554878234863	-4099.9653	-4120.8096	20.844238	4.981886480348585e-06	8.167027016964895e-06	True
5	6	4.829834	4.856037139892578	4.452256679534912	-6665.198	-6685.199	20.000977	7.740262410127485e-06	1.2484294209883042e-05	True
24	25	3.8338764	3.7512710094451904	6.091789722442627	-4421.7676	-4437.3945	15.626953	7.714707338479787e-05	0.0001224556720393617	True
66	67	5.369344	5.317605972290039	6.22064733505249	-6088.4233	-6103.6426	15.219238	9.572327129170333e-05	0.00014956761139328645	True
18	19	4.4057927	4.504011154174805	2.033806800842285	-4514.4526	-4528.9795	14.526855	0.0001381756837525172	0.00021257797500387262	True
47	48	4.6503186	4.582434177398682	6.249631404876709	-4761.31	-4768.755	7.444824	0.006361913223286608	0.009639262459525164	True
34	35	1.657141	1.7242741584777832	0.4811384081840515	-4085.0537	-4092.3865	7.3327637	0.006770886670911969	0.010105801001361147	True
28	29	5.079591	5.16681432723999	3.5283403396606445	-5392.8154	-5399.9575	7.14209	0.007529536101979151	0.011072847208792869	True
50	51	5.9141526	5.846077919006348	6.773462295532227	-9898.823	-9905.12	6.296875	0.012095100961460159	0.01752913182820313	True
61	62	2.7478514	2.710114002227783	3.4835753440856934	-4793.308	-4799.4673	6.1591797	0.01307318226971843	0.01848423490756444	True
83	84	5.2994566	5.311222553253174	5.095885276794434	-5479.963	-5486.115	6.1523438	0.01312380678437075	0.01848423490756444	True
45	46	3.0359085	2.9845125675201416	3.972198247909546	-5027.144	-5033.1553	6.0112305	0.01421511159313582	0.019743210546021975	True
35	36	3.6991763	3.698033571243286	3.715238332748413	-6910.0083	-6915.3354	5.3271484	0.020995709517994898	0.028761245915061504	True
30	31	1.4324915	1.40115225315094	2.145530939102173	-4355.945	-4360.4976	4.5527344	0.032866219671424446	0.04441381036678979	True
2	3	4.8440833	4.79661750793457	5.778636932373047	-4990.213	-4994.7393	4.526367	0.033376397399393576	0.04450186319919144	True
55	56	4.31264	4.261445045471191	5.422493934631348	-4720.6646	-4724.0737	3.4091797	0.06483466871493104	0.08530877462490927	False
76	77	5.6584663	5.5743408203125	7.343873023986816	-5212.3306	-5214.8325	2.5019531	0.11370520510241522	0.1467738580688959	False
80	81	3.8012943	3.8282461166381836	3.306018114089966	-5049.2104	-5051.7017	2.491211	0.1144836092937388	0.1467738580688959	False
4	5	4.8161836	4.787132263183594	5.443572998046875	-4767.973	-4769.9478	1.9746094	0.15995945162352998	0.20248031851079742	False
51	52	0.4980603	0.49298107624053955	2.082026481628418	-4339.123	-4341.0215	1.8984375	0.1682533168062097	0.21031664600776212	False
31	32	5.945148	5.868526458740234	7.530307769775391	-5222.087	-5223.7773	1.6904297	0.19354433659179904	0.23894362542197412	False
94	95	7.923405	7.937909126281738	7.650481700897217	-6057.111	-6058.062	0.9511719	0.32942118590938596	0.4017331535480317	False
97	98	3.7306287	3.712407350540161	4.139582633972168	-4617.401	-4618.025	0.62402344	0.4295560691538688	0.5175374327155046	False
38	39	4.5377135	4.4965715408325195	5.23015022277832	-5707.0664	-5707.6685	0.6020508	0.43779662819983856	0.521186462142665	False
29	30	3.2904758	3.320713758468628	2.3767640590667725	-4228.5806	-4229.128	0.5473633	0.4593970618242733	0.5404671315579687	False
68	69	4.242612	4.210728645324707	4.858653545379639	-5038.5117	-5038.8667	0.35498047	0.5513072576697831	0.6410549507788175	False
96	97	0.48735887	0.5028534531593323	0.4699001908302307	-4752.636	-4752.798	0.1616211	0.6876683798124261	0.7904234250717541	False
39	40	0.5237192	0.5701460838317871	0.45246702432632446	-4144.221	-4144.318	0.09667969	0.7558511202294635	0.8589217275334813	False
6	7	1.5025156	1.4439674615859985	2.9247703552246094	-4388.1064	-4385.1943	-2.9121094	1.0	1.0	False
7	8	2.7690365	2.7513413429260254	3.1358635425567627	-4484.776	-4482.9175	-1.8583984	1.0	1.0	False
