ID	gene	h0_r	h0_alpha	h0_sigma	h0_theta	h1_r	h1_alpha	h1_sigma	h1_theta_T1	h1_theta_Met	h0	h1	lrt	p	q	signif
3245	Phf20	58.02658	6.421836	2.497211	-0.57229453	50.634857	6.307586	2.4008517	-0.5085158944129944	-0.5947473049163818	988.60815	988.52295	0.17041016	0.6797475458465572	0.7380267586627077	False
3969	Cir1	45.56984	6.256331	2.9614353	-0.334	14.143849	6.22662	2.693398	-0.25382375717163086	-0.33478400111198425	1056.3431	1056.2604	0.16552734	0.6841177807337474	0.7423859272101611	False
4151	Csnk1a1	33.530197	5.511584	3.116668	3.5071943	30.282324	5.578753	3.035551	3.384108066558838	3.5905227661132812	-1184.5911	-1184.6738	0.16552734	0.6841177807337474	0.7423859272101611	False
1760	Iqgap1	7.2607203	6.2232614	2.165764	0.7792249	7.753552	6.198993	2.2060394	0.8865814208984375	0.724384605884552	1119.2468	1119.1663	0.16113281	0.688115698391144	0.7465305045629779	False
3877	Kif22	2.5047998	6.5388665	3.1234853	-1.9753829	2.6769538	6.433553	3.1799815	-2.044590950012207	-1.9613028764724731	563.18823	563.10864	0.15917969	0.6899128839596312	0.7482859958648583	False
2874	Gnai3	63.921318	6.578873	2.268956	0.37562016	132.9528	6.425573	2.2820415	0.2816128134727478	0.4222959280014038	1167.2056	1167.1267	0.15771484	0.6912691781437452	0.7495625053094735	False
2861	Stard5	0.6914126	6.5598216	1.2870365	-2.638688	0.8208512	6.528093	1.67887	-2.7302258014678955	-2.6584315299987793	298.199	298.12036	0.1572876	0.6916661368761767	0.7497885210892579	False
3298	Sesn1	7.1540933	6.260166	2.5037348	-1.2294049	7.3619123	6.4016037	2.5724077	-1.1687272787094116	-1.26362144947052	765.71674	765.6382	0.15710449	0.6918364530557977	0.7497885210892579	False
3019	Cdkn2aip	8.69643	6.3883905	1.4388808	-1.4353365	33.762833	6.2069707	1.825167	-1.5388776063919067	-1.4471917152404785	661.4357	661.3577	0.15600586	0.6928607694782596	0.750632932716436	False
2202	Dhx32	4.4423785	6.422077	1.4473683	-1.7439061	8.780468	6.332321	1.7340157	-1.8725345134735107	-1.7316927909851074	557.43317	557.3552	0.15588379	0.6929748395357767	0.750632932716436	False
2420	Pfkfb3	0.82006294	6.489843	2.7972486	-2.8934982	1.107096	6.4155893	3.2196693	-3.104952335357666	-2.926192045211792	287.5218	287.44406	0.15545654	0.6933744917641749	0.7508712104385817	False
