source	term_id	term_name	p_value	adjusted_p_value	term_size	query_size	intersection_size	precision	recall	intersection_genes
GO:BP	GO:0032200	telomere organization	0.04069612231029344	0.04069612231029344	49	316	16	0.05063291139240506	0.32653061224489793	Ruvbl2,Ccne1,Cct8,Cct5,Cct2,Tcp1,Uchl5,Hsp90ab1,Dkc1,Hnrnpd,Ercc1,Hnrnpu,Ptges3,Cct7,Nop10,Cct3
GO:BP	GO:0009141	nucleoside triphosphate metabolic process	0.04536996452354597	0.04536996452354597	93	316	23	0.07278481012658228	0.24731182795698925	Gapdh,Pkm,Ran,Ndufa3,Mtch2,Impdh2,Dtymk,Galk1,Ola1,Nme2,Tpi1,Dctpp1,Ndufc1,Ndufa7,Ndufa13,Ndufb10,Ndufab1,Uck2,Ndufs6,Ndufs7,Nme1,Eif6,Aldoa
GO:BP	GO:0000375	RNA splicing, via transesterification reactions	0.057491750081035936	0.057491750081035936	108	316	25	0.07911392405063292	0.23148148148148148	Npm1,Snrpe,Rbm17,Hnrnpa2b1,Snrpa1,Snrpg,C1qbp,Hnrnpc,Snrpf,Clns1a,Lsm6,Psip1,Lsm4,Ddx39b,Ptbp1,Lsm3,Hnrnpu,Lsm5,Dazap1,Lsm8,Snrpd1,Hnrnpa1,Strap,Eif1,Rbm8a
GO:BP	GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	0.057491750081035936	0.057491750081035936	108	316	25	0.07911392405063292	0.23148148148148148	Npm1,Snrpe,Rbm17,Hnrnpa2b1,Snrpa1,Snrpg,C1qbp,Hnrnpc,Snrpf,Clns1a,Lsm6,Psip1,Lsm4,Ddx39b,Ptbp1,Lsm3,Hnrnpu,Lsm5,Dazap1,Lsm8,Snrpd1,Hnrnpa1,Strap,Eif1,Rbm8a
GO:BP	GO:0000398	mRNA splicing, via spliceosome	0.057491750081035936	0.057491750081035936	108	316	25	0.07911392405063292	0.23148148148148148	Npm1,Snrpe,Rbm17,Hnrnpa2b1,Snrpa1,Snrpg,C1qbp,Hnrnpc,Snrpf,Clns1a,Lsm6,Psip1,Lsm4,Ddx39b,Ptbp1,Lsm3,Hnrnpu,Lsm5,Dazap1,Lsm8,Snrpd1,Hnrnpa1,Strap,Eif1,Rbm8a
GO:BP	GO:0015980	energy derivation by oxidation of organic compounds	0.0662232896822952	0.0662232896822952	153	316	31	0.0981012658227848	0.20261437908496732	Gapdh,Pkm,Mdh2,Cox6b1,Ldha,Ndufa3,Mtch2,Park7,Galk1,Cdk1,Tpi1,Ndufc1,Ndufa7,Ndufa13,Etfb,Ndufb10,Ndufab1,Ptges3,Cox6c,Cox7b,Chchd2,Cox6a1,Ndufs6,Cox4i1,Ndufs7,Hmgb1,Pdha1,Eif6,Uqcrq,Uqcr11,Aldoa
GO:BP	GO:0009117	nucleotide metabolic process	0.06757764931356366	0.06757764931356366	138	316	29	0.09177215189873418	0.21014492753623187	Gapdh,Pkm,Ran,Pgls,Mdh2,Ndufa3,Mtch2,Impdh2,Dtymk,Paics,Galk1,Ola1,Nme2,Tpi1,Dctpp1,Ndufc1,Ndufa7,Aprt,Ndufa13,Ndufb10,Ndufab1,Uck2,Ndufs6,Tkt,Ndufs7,Hint1,Nme1,Eif6,Aldoa
GO:BP	GO:0008380	RNA splicing	0.06922049385410242	0.06922049385410242	161	316	32	0.10126582278481013	0.19875776397515527	Npm1,Ybx1,Snrpe,Prmt1,Rbm17,Hnrnpa2b1,Snrpa1,Hnrnpf,Snrpg,C1qbp,Hnrnpc,Snrpf,Clns1a,Taf10,Lsm6,Psip1,Ddx47,Lsm4,Ddx39b,Ptbp1,Lsm3,Hnrnpu,Lsm5,Dazap1,Lsm8,Snrpd1,Snrnp27,Hnrnpa1,Strap,Pabpc1,Eif1,Rbm8a
GO:BP	GO:0045333	cellular respiration	0.07249901578883122	0.07249901578883122	131	316	28	0.08860759493670886	0.21374045801526717	Gapdh,Pkm,Mdh2,Cox6b1,Ndufa3,Mtch2,Park7,Galk1,Cdk1,Tpi1,Ndufc1,Ndufa7,Ndufa13,Etfb,Ndufb10,Ndufab1,Cox6c,Cox7b,Chchd2,Cox6a1,Ndufs6,Cox4i1,Ndufs7,Pdha1,Eif6,Uqcrq,Uqcr11,Aldoa
GO:BP	GO:0007339	binding of sperm to zona pellucida	0.09607740859552964	0.09607740859552964	7	316	6	0.0189873417721519	0.8571428571428571	Cct8,Cct5,Cct2,Tcp1,Cct7,Cct3
GO:BP	GO:0022618	protein-RNA complex assembly	0.21984050481914807	0.21984050481914807	61	316	17	0.05379746835443038	0.2786885245901639	Snrpe,Eif3i,Snrpg,Denr,Hsp90ab1,Dkc1,Snrpf,Clns1a,Psip1,Ddx39b,Eif3h,Eif3c,Ptges3,Snrpd1,Eif3e,Strap,Eif3k
GO:BP	GO:0006163	purine nucleotide metabolic process	0.25576289270855407	0.25576289270855407	124	316	26	0.08227848101265822	0.20967741935483872	Gapdh,Pkm,Ran,Pgls,Mdh2,Ndufa3,Mtch2,Impdh2,Paics,Galk1,Ola1,Nme2,Tpi1,Ndufc1,Ndufa7,Aprt,Ndufa13,Ndufb10,Ndufab1,Ndufs6,Tkt,Ndufs7,Hint1,Nme1,Eif6,Aldoa
