cell	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17
E15_rep1_clone00063	-1	-1	-1	-1	-1	-1	-1	-1	-1	66	60	151	87	138	-1	141	-1
E15_rep1_clone00064	-1	-1	-1	-1	-1	-1	-1	-1	-1	136	-1	152	-1	113	0	129	114
E15_rep1_clone00065	27	-1	26	-1	28	-1	22	-1	11	79	-1	93	-1	104	-1	86	-1
E15_rep1_clone00066	27	-1	26	-1	28	-1	22	-1	11	0	12	-1	30	-1	33	-1	91
E15_rep1_clone00067	-1	-1	-1	-1	-1	-1	-1	-1	-1	51	-1	67	-1	75	-1	57	65
E15_rep1_clone00068	28	2	3	-1	3	-1	1	36	17	52	-1	68	-1	76	-1	58	-1
E15_rep1_clone00069	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	63	40	-1	45	-1	27	-1
E15_rep1_clone00070	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	100	0	0	0	0	114
E15_rep1_clone00071	27	-1	26	-1	28	-1	22	-1	11	37	-1	56	-1	62	-1	44	55
E15_rep1_clone00072	27	-1	26	-1	28	-1	22	-1	11	0	36	-1	54	-1	56	-1	59
E15_rep1_clone00073	27	-1	26	-1	28	-1	22	-1	11	18	-1	22	-1	25	24	82	114
E15_rep1_clone00074	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	102	-1	152	-1	151	-1
E15_rep1_clone00075	27	-1	26	-1	28	-1	22	-1	11	75	-1	89	-1	98	-1	79	-1
E15_rep1_clone00076	27	-1	26	-1	28	-1	22	-1	11	131	-1	147	120	154	-1	153	-1
E15_rep1_clone00077	27	-1	26	-1	28	-1	22	-1	11	141	12	-1	30	-1	33	-1	86
E15_rep1_clone00078	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	50	-1	55	-1	37	-1
E15_rep1_clone00079	27	-1	26	-1	28	-1	22	-1	11	53	-1	69	-1	77	-1	59	-1
E15_rep1_clone00080	27	-1	26	-1	28	-1	22	-1	11	104	-1	121	119	134	64	126	71
E15_rep1_clone00081	27	-1	26	-1	28	-1	22	-1	11	0	13	-1	32	-1	35	-1	126
E15_rep1_clone00082	27	-1	26	-1	28	-1	22	-1	11	0	63	40	-1	45	-1	27	-1
E15_rep1_clone00083	27	-1	26	-1	28	-1	22	-1	11	0	0	0	0	0	0	12	-1
E15_rep1_clone00084	-1	-1	-1	-1	-1	-1	-1	-1	-1	113	-1	129	73	138	-1	141	-1
E15_rep1_clone00085	27	-1	26	-1	28	-1	22	-1	11	1	-1	2	-1	5	0	96	-1
E15_rep1_clone00086	27	-1	26	-1	28	-1	22	-1	11	40	-1	61	-1	67	-1	49	88
E15_rep1_clone00087	-1	-1	-1	-1	-1	-1	-1	-1	-1	82	48	34	-1	38	-1	22	126
E15_rep1_clone00088	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	81	-1	90	120	-1	120	0
E15_rep1_clone00089	27	-1	26	-1	28	-1	22	-1	11	82	48	34	-1	38	-1	22	126
E15_rep1_clone00090	27	-1	26	-1	28	-1	22	-1	11	0	35	-1	53	-1	55	-1	58
E15_rep1_clone00091	27	-1	26	-1	28	-1	22	-1	11	0	74	-1	80	0	4	-1	4
E15_rep1_clone00092	-1	-1	-1	-1	-1	-1	-1	-1	-1	109	96	70	102	95	69	34	97
E15_rep1_clone00093	-1	-1	-1	-1	-1	-1	-1	-1	-1	140	0	114	-1	108	0	100	107
E15_rep1_clone00094	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	11	-1	29	-1	32	100	114
E15_rep1_clone00095	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	12	-1	30	-1	33	-1	126
E15_rep1_clone00096	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	60	78	94	151	-1	150	-1
E15_rep1_clone00097	27	-1	26	-1	28	-1	22	-1	11	46	39	55	-1	61	-1	42	-1
E15_rep1_clone00098	27	-1	26	-1	28	-1	22	-1	11	61	65	-1	124	-1	105	-1	114
E15_rep1_clone00099	27	-1	26	-1	28	-1	22	-1	11	131	-1	147	3	-1	3	-1	3
E15_rep1_clone00100	-1	-1	-1	-1	-1	-1	-1	-1	-1	67	-1	83	-1	91	-1	72	-1
E15_rep1_clone00101	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	36	-1	54	-1	56	-1	59
E15_rep1_clone00102	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	101	-1	0	0	0	126
E15_rep1_clone00103	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	51	138	-1	141	-1
E15_rep1_clone00104	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	120	-1	120	116
E15_rep1_clone00105	27	-1	26	-1	28	-1	22	-1	11	58	-1	75	-1	84	-1	64	-1
E15_rep1_clone00106	27	-1	26	-1	28	-1	22	-1	11	0	81	-1	90	120	-1	120	0
E15_rep1_clone00107	27	-1	26	-1	28	-1	22	-1	11	0	0	102	-1	152	-1	151	-1
E15_rep1_clone00108	-1	-1	-1	-1	-1	-1	-1	-1	-1	34	-1	51	-1	56	-1	38	86
E15_rep1_clone00109	-1	-1	-1	-1	-1	-1	-1	-1	-1	40	-1	61	-1	67	-1	49	86
E15_rep1_clone00110	-1	-1	-1	-1	-1	-1	-1	-1	-1	74	-1	88	-1	97	-1	78	-1
E15_rep1_clone00111	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	16	-1	35	-1	37	-1	0
E15_rep1_clone00112	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	135	0	0	0	95	-1
E15_rep1_clone00113	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	117	114
E15_rep1_clone00114	27	-1	26	-1	28	-1	22	-1	11	65	20	-1	39	-1	41	-1	39
E15_rep1_clone00115	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	75	-1	83	140	-1	142	-1
E15_rep1_clone00116	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	59	0	68	0
E15_rep1_clone00117	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	152	-1	151	-1
E15_rep1_clone00118	0	21	27	0	5	17	5	35	18	-1	-1	-1	-1	-1	-1	-1	-1
E15_rep1_clone00119	-1	-1	-1	-1	-1	-1	-1	-1	-1	34	-1	51	-1	56	-1	38	0
E15_rep1_clone00120	-1	-1	-1	-1	-1	-1	-1	-1	-1	46	39	55	-1	61	-1	42	-1
E15_rep1_clone00121	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	78	112	0	0	0	100	73
E15_rep1_clone00122	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	92	-1	107	-1	0	95	-1
E15_rep1_clone00123	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	131	-1	0	0	67	68
E15_rep1_clone00124	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	121	120	-1	120	116
E15_rep1_clone00125	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	17
E15_rep1_clone00126	10	-1	9	-1	12	-1	7	24	17	52	-1	68	-1	76	-1	58	-1
E15_rep1_clone00127	27	-1	26	-1	28	-1	22	-1	11	0	16	-1	35	-1	37	-1	0
E15_rep1_clone00128	27	-1	26	-1	28	-1	22	-1	11	0	60	78	94	151	-1	150	-1
E15_rep1_clone00129	27	-1	26	-1	28	-1	22	-1	11	0	93	-1	110	-1	0	94	101
E15_rep1_clone00130	27	-1	26	-1	28	-1	22	-1	11	0	0	97	68	1	-1	1	-1
E15_rep1_clone00131	-1	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	9	-1	12	0	116	108
E15_rep1_clone00132	-1	-1	-1	-1	-1	-1	-1	-1	-1	126	0	0	0	0	0	12	-1
E15_rep1_clone00133	-1	-1	-1	-1	-1	-1	-1	-1	-1	142	-1	158	-1	155	0	0	0
E15_rep1_clone00134	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	67	-1
E15_rep1_clone00135	15	-1	15	-1	18	-1	12	-1	2	52	-1	68	-1	76	-1	58	-1
E15_rep1_clone00136	25	6	-1	5	-1	6	-1	7	20	52	-1	68	-1	76	-1	58	-1
E15_rep1_clone00137	27	-1	26	-1	28	-1	22	-1	11	64	85	16	20	147	-1	148	75
E15_rep1_clone00138	27	-1	26	-1	28	-1	22	-1	11	109	96	70	102	95	69	34	97
E15_rep1_clone00139	27	-1	26	-1	28	-1	22	-1	11	140	0	114	-1	108	0	100	107
E15_rep1_clone00140	27	-1	26	-1	28	-1	22	-1	11	0	12	-1	30	-1	33	-1	86
E15_rep1_clone00141	27	-1	26	-1	28	-1	22	-1	11	0	25	-1	42	-1	45	-1	45
E15_rep1_clone00142	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	60	32	-1	36	-1	20	-1
E15_rep1_clone00143	-1	-1	-1	-1	-1	-1	-1	-1	-1	65	20	-1	39	-1	41	-1	39
E15_rep1_clone00144	-1	-1	-1	-1	-1	-1	-1	-1	-1	113	-1	129	0	0	81	-1	111
E15_rep1_clone00145	-1	-1	-1	-1	-1	-1	-1	-1	-1	141	12	-1	30	-1	33	-1	86
E15_rep1_clone00146	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	67	67
E15_rep1_clone00147	7	-1	6	-1	8	-1	27	-1	22	52	-1	68	-1	76	-1	58	-1
E15_rep1_clone00148	27	-1	26	-1	28	-1	22	-1	11	4	60	32	-1	36	-1	20	-1
E15_rep1_clone00149	27	-1	26	-1	28	-1	22	-1	11	20	-1	24	-1	27	27	15	86
E15_rep1_clone00150	27	-1	26	-1	28	-1	22	-1	11	72	-1	0	0	0	0	98	-1
E15_rep1_clone00151	27	-1	26	-1	28	-1	22	-1	11	111	29	-1	46	-1	49	-1	49
E15_rep1_clone00152	27	-1	26	-1	28	-1	22	-1	11	136	-1	152	-1	113	0	129	114
E15_rep1_clone00153	27	-1	26	-1	28	-1	22	-1	11	0	12	-1	30	-1	33	-1	44
E15_rep1_clone00154	27	-1	26	-1	28	-1	22	-1	11	0	60	151	0	138	-1	141	-1
E15_rep1_clone00155	27	-1	26	-1	28	-1	22	-1	11	0	75	-1	83	140	-1	142	-1
E15_rep1_clone00156	27	-1	26	-1	28	-1	22	-1	11	0	0	80	18	-1	17	-1	26
E15_rep1_clone00157	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	8	-1	11	0	92	79
E15_rep1_clone00158	-1	-1	-1	-1	-1	-1	-1	-1	-1	61	65	-1	124	-1	105	-1	114
E15_rep1_clone00159	-1	-1	-1	-1	-1	-1	-1	-1	-1	131	-1	147	3	-1	3	-1	3
E15_rep1_clone00160	-1	-1	-1	-1	-1	-1	-1	-1	-1	137	-1	154	-1	0	0	0	101
E15_rep1_clone00161	-1	-1	-1	-1	-1	-1	-1	-1	-1	140	64	-1	94	138	-1	141	-1
E15_rep1_clone00162	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	54	-1	0	107	-1	0	93
E15_rep1_clone00163	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	60	102	-1	0	0	130	126
E15_rep1_clone00164	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	100	109	-1	98	-1	95
E15_rep1_clone00165	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	101	-1	93	-1	114
E15_rep1_clone00166	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	107	-1
E15_rep1_clone00167	27	-1	26	-1	28	-1	22	-1	11	0	19	-1	38	-1	40	-1	28
E15_rep1_clone00168	27	-1	26	-1	28	-1	22	-1	11	0	93	-1	110	-1	0	0	101
E15_rep1_clone00169	27	-1	26	-1	28	-1	22	-1	11	0	0	0	101	-1	93	-1	114
E15_rep1_clone00170	32	12	-1	11	-1	13	-1	13	-1	52	-1	68	-1	76	-1	58	-1
E15_rep1_clone00171	-1	-1	-1	-1	-1	-1	-1	-1	-1	59	-1	76	-1	85	-1	65	-1
E15_rep1_clone00172	-1	-1	-1	-1	-1	-1	-1	-1	-1	122	-1	137	0	0	0	0	0
E15_rep1_clone00173	-1	-1	-1	-1	-1	-1	-1	-1	-1	130	-1	146	98	8	-1	5	-1
E15_rep1_clone00174	-1	-1	-1	-1	-1	-1	-1	-1	-1	140	64	-1	0	138	-1	141	-1
E15_rep1_clone00175	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	12	-1	30	-1	33	-1	44
E15_rep1_clone00176	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	16	-1	35	-1	37	-1	129
E15_rep1_clone00177	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	110	0	102	0	95	-1
E15_rep1_clone00178	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	135	0	0	0	94	0
E15_rep1_clone00179	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	89	0	0	17
E15_rep1_clone00180	5	-1	5	-1	6	28	-1	33	-1	52	-1	68	-1	76	-1	58	-1
E15_rep1_clone00181	12	-1	11	-1	14	-1	9	19	0	52	-1	68	-1	76	-1	58	-1
E15_rep1_clone00182	27	-1	26	-1	28	-1	22	-1	11	16	-1	19	-1	22	-1	101	99
E15_rep1_clone00183	27	-1	26	-1	28	-1	22	-1	11	61	65	-1	23	-1	22	-1	32
E15_rep1_clone00184	27	-1	26	-1	28	-1	22	-1	11	113	-1	129	73	138	-1	141	-1
E15_rep1_clone00185	27	-1	26	-1	28	-1	22	-1	11	0	11	-1	29	-1	32	100	114
E15_rep1_clone00186	27	-1	26	-1	28	-1	22	-1	11	0	60	151	72	152	-1	151	-1
E15_rep1_clone00187	-1	-1	-1	-1	-1	-1	-1	-1	-1	40	-1	61	-1	67	-1	49	88
E15_rep1_clone00188	-1	-1	-1	-1	-1	-1	-1	-1	-1	112	0	0	0	121	-1	121	102
E15_rep1_clone00189	-1	-1	-1	-1	-1	-1	-1	-1	-1	119	14	106	0	0	66	-1	114
E15_rep1_clone00190	-1	-1	-1	-1	-1	-1	-1	-1	-1	124	-1	141	0	0	0	100	86
E15_rep1_clone00191	-1	-1	-1	-1	-1	-1	-1	-1	-1	131	-1	147	120	154	-1	153	-1
E15_rep1_clone00192	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	60	151	72	152	-1	151	-1
E15_rep1_clone00193	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	74	-1	80	0	4	-1	4
E15_rep1_clone00194	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	97	68	1	-1	1	-1
E15_rep1_clone00195	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	100	0	0	0	129	114
E15_rep1_clone00196	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	94	0	0	0	0
E15_rep1_clone00197	23	-1	23	-1	26	-1	20	-1	14	52	-1	68	-1	76	-1	58	-1
E15_rep1_clone00198	27	-1	26	-1	28	-1	22	-1	11	38	-1	57	-1	63	-1	45	29
E15_rep1_clone00199	27	-1	26	-1	28	-1	22	-1	11	41	38	-1	56	-1	58	-1	62
E15_rep1_clone00200	27	-1	26	-1	28	-1	22	-1	11	69	-1	85	-1	93	-1	74	-1
E15_rep1_clone00201	27	-1	26	-1	28	-1	22	-1	11	89	50	58	-1	64	-1	46	-1
E15_rep1_clone00202	27	-1	26	-1	28	-1	22	-1	11	138	-1	155	-1	0	0	106	-1
E15_rep1_clone00203	27	-1	26	-1	28	-1	22	-1	11	140	64	-1	94	138	-1	141	-1
E15_rep1_clone00204	27	-1	26	-1	28	-1	22	-1	11	0	10	-1	28	-1	31	-1	94
E15_rep1_clone00205	27	-1	26	-1	28	-1	22	-1	11	0	54	-1	0	123	-1	124	85
E15_rep1_clone00206	27	-1	26	-1	28	-1	22	-1	11	0	60	102	-1	0	0	130	126
E15_rep1_clone00207	27	-1	26	-1	28	-1	22	-1	11	0	70	39	-1	44	-1	26	-1
E15_rep1_clone00208	27	-1	26	-1	28	-1	22	-1	11	0	0	50	-1	55	-1	37	-1
E15_rep1_clone00209	27	-1	26	-1	28	-1	22	-1	11	0	0	135	0	0	0	0	78
E15_rep1_clone00210	-1	-1	-1	-1	-1	-1	-1	-1	-1	53	-1	69	-1	77	-1	59	-1
E15_rep1_clone00211	-1	-1	-1	-1	-1	-1	-1	-1	-1	58	-1	75	-1	84	-1	64	-1
E15_rep1_clone00212	-1	-1	-1	-1	-1	-1	-1	-1	-1	79	-1	93	-1	104	-1	86	-1
E15_rep1_clone00213	-1	-1	-1	-1	-1	-1	-1	-1	-1	80	32	-1	49	-1	52	-1	52
E15_rep1_clone00214	-1	-1	-1	-1	-1	-1	-1	-1	-1	137	-1	154	-1	120	-1	120	86
E15_rep1_clone00215	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	25	-1	42	-1	45	-1	45
E15_rep1_clone00216	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	74	-1	80	108	27	14	84
E15_rep1_clone00217	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	100	0	0	0	0	73
E15_rep1_clone00218	15	-1	15	-1	18	-1	12	-1	9	52	-1	68	-1	76	-1	58	-1
E15_rep1_clone00219	17	-1	17	-1	20	-1	14	-1	14	52	-1	68	-1	76	-1	58	-1
E15_rep1_clone00220	27	-1	26	-1	28	-1	22	-1	11	6	-1	8	-1	11	0	92	79
E15_rep1_clone00221	27	-1	26	-1	28	-1	22	-1	11	120	60	4	-1	7	-1	4	69
E15_rep1_clone00222	27	-1	26	-1	28	-1	22	-1	11	132	-1	148	0	0	20	-1	31
E15_rep1_clone00223	27	-1	26	-1	28	-1	22	-1	11	145	0	46	-1	51	-1	33	-1
E15_rep1_clone00224	27	-1	26	-1	28	-1	22	-1	11	0	78	0	94	0	0	0	114
E15_rep1_clone00225	27	-1	26	-1	28	-1	22	-1	11	0	0	100	109	-1	98	-1	95
E15_rep1_clone00226	27	-1	26	-1	28	-1	22	-1	11	0	0	0	0	0	78	0	126
E15_rep1_clone00227	41	-1	32	0	36	-1	33	-1	14	52	-1	68	-1	76	-1	58	-1
E15_rep1_clone00228	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	11	-1	15	0	100	80
E15_rep1_clone00229	-1	-1	-1	-1	-1	-1	-1	-1	-1	38	-1	57	-1	63	-1	45	29
E15_rep1_clone00230	-1	-1	-1	-1	-1	-1	-1	-1	-1	71	60	102	-1	0	0	0	126
E15_rep1_clone00231	-1	-1	-1	-1	-1	-1	-1	-1	-1	94	0	0	122	-1	103	-1	0
E15_rep1_clone00232	-1	-1	-1	-1	-1	-1	-1	-1	-1	113	-1	129	87	124	-1	125	114
E15_rep1_clone00233	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	52	4	-1	7	-1	4	69
E15_rep1_clone00234	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	78	96	67	130	-1	135	0
E15_rep1_clone00235	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	80	77	0	0	0	5
E15_rep1_clone00236	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	127	0	110	78	10	126
E15_rep1_clone00237	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	114	-1	101	-1	86
E15_rep1_clone00238	16	-1	16	-1	19	-1	13	-1	14	52	-1	68	-1	76	-1	58	-1
E15_rep1_clone00239	27	-1	26	-1	28	-1	22	-1	11	34	-1	51	-1	56	-1	38	0
E15_rep1_clone00240	27	-1	26	-1	28	-1	22	-1	11	38	-1	57	-1	63	-1	45	130
E15_rep1_clone00241	27	-1	26	-1	28	-1	22	-1	11	73	-1	87	-1	96	-1	77	-1
E15_rep1_clone00242	27	-1	26	-1	28	-1	22	-1	11	78	-1	92	-1	103	-1	85	-1
E15_rep1_clone00243	27	-1	26	-1	28	-1	22	-1	11	113	-1	129	108	-1	97	-1	86
E15_rep1_clone00244	27	-1	26	-1	28	-1	22	-1	11	132	-1	148	93	0	20	-1	31
E15_rep1_clone00245	27	-1	26	-1	28	-1	22	-1	11	137	-1	154	-1	0	0	0	101
E15_rep1_clone00246	27	-1	26	-1	28	-1	22	-1	11	140	64	-1	0	138	-1	141	-1
E15_rep1_clone00247	27	-1	26	-1	28	-1	22	-1	11	0	16	-1	35	-1	37	-1	129
E15_rep1_clone00248	27	-1	26	-1	28	-1	22	-1	11	0	74	-1	80	0	0	95	-1
E15_rep1_clone00249	27	-1	26	-1	28	-1	22	-1	11	0	83	145	-1	132	0	100	90
E15_rep1_clone00250	27	-1	26	-1	28	-1	22	-1	11	0	0	4	-1	7	-1	4	101
E15_rep1_clone00251	27	-1	26	-1	28	-1	22	-1	11	0	0	20	-1	23	-1	13	109
E15_rep1_clone00252	27	-1	26	-1	28	-1	22	-1	11	0	0	0	0	110	78	0	126
