gene	log2FC	p_value	q_value	signif
76	1.3622848	6.198623062443975e-11	8.156082976899967e-11	True
26	1.5338098	6.474201659640432e-11	8.408054103429132e-11	True
58	1.1086967	7.536379855113416e-11	9.66202545527361e-11	True
77	1.3191357	1.0306858277183099e-10	1.3046656047067215e-10	True
9	1.5649583	1.3767712763049385e-10	1.720964095381173e-10	True
95	1.2177465	1.5985819159879499e-10	1.9735579209727774e-10	True
17	1.1542945	3.83539373918742e-10	4.677309438033439e-10	True
86	1.3236941	4.16902255911203e-10	5.022918745918109e-10	True
48	1.2487249	4.391752735472537e-10	5.228277066038735e-10	True
91	1.1050888	5.93177503133821e-10	6.978558860397895e-10	True
98	1.8091363	6.245931030618214e-10	7.262710500718853e-10	True
3	1.3059322	1.1197319327679646e-09	1.2870481985838675e-09	True
36	1.11487	2.0106309756402444e-09	2.284807926863914e-09	True
20	1.1042932	3.3400185477726675e-09	3.752829828958053e-09	True
82	0.9978158	3.686596165996468e-09	4.096217962218298e-09	True
5	1.103783	4.315140568021395e-09	4.741912712111423e-09	True
52	1.8395864	4.9015524652217655e-09	5.32777441871931e-09	True
69	1.202801	7.59324712167138e-09	8.164781851259548e-09	True
53	1.0262308	3.0590893857087706e-08	3.254350410328479e-08	True
21	1.1934841	7.50938777991132e-08	7.904618715696126e-08	True
41	0.7761909	1.4814170641128338e-07	1.5431427751175352e-07	True
4	1.0164831	2.663562710638083e-07	2.7459409388021477e-07	True
51	0.97258955	3.11214685720045e-07	3.1756600583678064e-07	True
16	0.835998	4.413860140881838e-06	4.458444586749332e-06	True
65	0.43012202	0.005150139495431805	0.005150139495431805	True
