ID	gene	h0_alpha	h0_sigma2	h0_theta	h1_alpha	h1_sigma2	h1_theta0	h1_theta1	h0	h1	LR	p	q	signif
28	29	2123.8767	3134.7317	0.74271226	2535.6228	3228.5596	0.7614438533782959	0.6663753390312195	286.11642	285.99106	0.12536621	0.7232857404688328	0.9500399371304233	False
41	42	2209.0889	2625.341	0.40994865	2614.6074	2824.182	0.4048296809196472	0.4606966972351074	256.84024	256.72272	0.11752319	0.7317364674887752	0.9500399371304233	False
34	35	1829.7935	3786.2876	0.85204303	1948.8986	4878.771	0.8527594804763794	0.7607659101486206	286.1478	286.03857	0.10922241	0.7410311509617302	0.9500399371304233	False
85	86	2141.7026	2833.6208	0.7944618	2281.344	3834.3076	0.802568793296814	0.6900784969329834	287.65845	287.56784	0.09060669	0.7634072878819639	0.9663383390910935	False
19	20	1858.2606	3569.857	0.6579477	2181.9487	3960.5786	0.6691653728485107	0.6218851804733276	282.0471	282.04056	0.0065307617	0.9355905672819089	1.0	False
67	68	2354.025	2231.6265	0.48048043	2828.3525	2238.293	0.4845532476902008	0.5110366344451904	264.65173	264.65134	0.00039672852	0.9841087501920311	1.0	False
4	5	3340.6423	737.1866	0.9271391	3705.363	988.7807	0.920283854007721	0.9627483487129211	291.31326	291.3836	-0.07034302	1.0	1.0	False
5	6	1951.1019	3599.3596	0.6821514	2261.3826	4039.4976	0.6931810975074768	0.6804054975509644	283.97287	284.2598	-0.28692627	1.0	1.0	False
22	23	1634.3918	4390.673	0.73688346	1873.1646	5008.1904	0.7222490906715393	0.7861605882644653	282.47162	282.52582	-0.05419922	1.0	1.0	False
25	26	2209.0105	2774.5757	0.78170586	2314.3801	3872.3464	0.7504802346229553	0.8492558598518372	287.55444	287.77267	-0.2182312	1.0	1.0	False
35	36	1835.5925	3849.5107	0.8322385	2131.9365	4355.4614	0.7987323999404907	0.9823266863822937	287.30804	287.35696	-0.048919678	1.0	1.0	False
37	38	1767.0009	3971.6516	0.7973008	2033.0531	4555.731	0.8035079836845398	0.7781453728675842	286.18466	286.2645	-0.079833984	1.0	1.0	False
38	39	2787.912	1307.7925	0.7507487	2626.4902	3037.2034	0.7400062084197998	0.6531806588172913	285.81354	286.38892	-0.5753784	1.0	1.0	False
39	40	1941.0575	3058.0537	0.5569096	2102.5908	4171.7495	0.5556312203407288	0.5052208304405212	275.6279	275.8412	-0.21328735	1.0	1.0	False
40	41	1873.694	3604.0198	0.56209683	1837.6611	5039.8755	0.5223406553268433	0.5784311890602112	276.326	276.538	-0.21200562	1.0	1.0	False
54	55	2611.8235	1916.5784	0.7711786	2951.3955	2298.0657	0.7778722047805786	0.7229390144348145	287.08844	287.48285	-0.39440918	1.0	1.0	False
58	59	2169.109	2859.9097	0.70528615	2425.3625	3478.015	0.6940699815750122	0.7213309407234192	284.76282	284.8102	-0.0473938	1.0	1.0	False
65	66	2209.1394	3027.5237	0.89122516	2607.7288	3233.9446	0.9032958149909973	0.8449435234069824	289.22464	289.4481	-0.2234497	1.0	1.0	False
71	72	2130.1836	3029.6953	0.68460023	2363.7515	3691.5034	0.6781781911849976	0.7047210931777954	283.75598	283.9682	-0.21221924	1.0	1.0	False
75	76	1993.6625	3479.1052	0.5285568	1891.4227	4963.603	0.5202186107635498	0.3859001100063324	273.0704	273.23334	-0.16293335	1.0	1.0	False
77	78	2782.3545	1368.8196	0.7035626	3083.5088	1885.0203	0.713221549987793	0.6164836883544922	283.22815	283.2318	-0.0036621094	1.0	1.0	False
79	80	2702.924	1578.6423	0.6289631	2469.333	3444.6504	0.5765323638916016	0.6697747707366943	278.3458	278.88965	-0.54385376	1.0	1.0	False
84	85	1825.9285	3900.6125	0.8565221	2083.9756	4466.236	0.8541548848152161	0.8384047150611877	286.19308	286.754	-0.5609131	1.0	1.0	False
87	88	1875.5907	3555.2393	0.5023796	2097.6204	4200.6313	0.4965890944004059	0.5346599221229553	271.44702	271.51035	-0.063323975	1.0	1.0	False
97	98	2911.2961	1179.1112	0.6854697	2825.8928	2644.558	0.6328755021095276	0.7701927423477173	281.65533	281.83954	-0.1842041	1.0	1.0	False
